# Time	Mean	Std
0.000000000000000000e+00	7.704838177072461214e+00	4.993859724762186175e-02
4.184100418410041482e-03	7.718960317646351044e+00	4.532551205884499668e-02
8.368200836820082963e-03	7.728396342030274369e+00	4.228848023497000508e-02
1.255230125523012184e-02	7.735825899686428642e+00	3.933993664076305963e-02
1.673640167364016593e-02	7.741951120629267713e+00	3.677301071302671587e-02
2.092050209205020828e-02	7.747119829449100159e+00	3.454400778201997119e-02
2.510460251046024716e-02	7.751699119419234840e+00	3.261613474579359850e-02
2.928870292887028950e-02	7.755800313080166042e+00	3.092325241620859019e-02
3.347280334728033185e-02	7.759600146307736424e+00	2.954239281273841888e-02
3.765690376569037073e-02	7.763183360457546200e+00	2.845308073760656822e-02
4.184100418410041655e-02	7.766485068429216376e+00	2.764447514018657584e-02
4.602510460251046237e-02	7.769599468444368995e+00	2.713313326348195872e-02
5.020920502092049431e-02	7.772497816509154944e+00	2.675484880272626861e-02
5.439330543933054013e-02	7.775143509810257036e+00	2.643926500963178841e-02
5.857740585774058595e-02	7.777565802256602545e+00	2.618097414507634946e-02
6.276150627615062483e-02	7.779890720504710977e+00	2.606815345633619121e-02
6.694560669456066371e-02	7.782049054495505658e+00	2.602987330055942655e-02
7.112970711297070259e-02	7.784202062616595086e+00	2.612367793260911980e-02
7.531380753138074147e-02	7.786241914702035416e+00	2.632338320673116919e-02
7.949790794979078035e-02	7.788117167012030606e+00	2.656028532287110430e-02
8.368200836820083310e-02	7.789903057142722353e+00	2.699786391216373038e-02
8.786610878661087198e-02	7.791478199377243286e+00	2.744770865974391696e-02
9.205020920502092474e-02	7.792804493987830483e+00	2.798175000046572089e-02
9.623430962343096362e-02	7.794164416593904576e+00	2.848355001198540210e-02
1.004184100418409886e-01	7.795417019033407335e+00	2.891443705376406728e-02
1.046025104602510414e-01	7.796513115690175688e+00	2.932693654288110255e-02
1.087866108786610803e-01	7.797446712083499598e+00	2.981388811114071488e-02
1.129707112970711330e-01	7.798124798892191123e+00	3.027173940033921207e-02
1.171548117154811719e-01	7.798663761180460341e+00	3.073670291568512958e-02
1.213389121338911830e-01	7.798923477571083396e+00	3.125302075434170657e-02
1.255230125523012497e-01	7.799058425023338792e+00	3.178366678257532607e-02
1.297071129707113024e-01	7.799060037681381452e+00	3.222097078137000498e-02
1.338912133891213274e-01	7.798917094978279785e+00	3.263908149341267911e-02
1.380753138075313524e-01	7.798708661777820517e+00	3.302532165365046346e-02
1.422594142259413774e-01	7.798510371756338877e+00	3.341285870850868589e-02
1.464435146443514579e-01	7.798218616461475072e+00	3.377735378804488930e-02
1.506276150627614829e-01	7.797875817653703301e+00	3.407339352457873505e-02
1.548117154811715357e-01	7.797402418297051163e+00	3.427312805992793754e-02
1.589958158995815607e-01	7.796772237517452631e+00	3.448880717734654350e-02
1.631799163179916135e-01	7.796142967675580238e+00	3.467560066615468090e-02
1.673640167364016662e-01	7.795444998318790120e+00	3.490532746341939996e-02
1.715481171548116912e-01	7.794658126452771008e+00	3.512820213469097785e-02
1.757322175732217440e-01	7.793788821918078646e+00	3.540257469777106231e-02
1.799163179916317690e-01	7.792917964970712319e+00	3.565961790570354450e-02
1.841004184100418495e-01	7.792008632323484285e+00	3.599667366747485303e-02
1.882845188284518745e-01	7.791010419437077061e+00	3.628270824653274940e-02
1.924686192468618995e-01	7.789935857286653054e+00	3.645416644472843776e-02
1.966527196652719522e-01	7.788826955509376759e+00	3.673840688232760804e-02
2.008368200836819772e-01	7.787591185375174696e+00	3.706999449590756696e-02
2.050209205020920578e-01	7.786239778190323868e+00	3.735758175892105182e-02
2.092050209205020828e-01	7.784943410125351626e+00	3.759584361499369171e-02
2.133891213389121078e-01	7.783665004457911429e+00	3.786062821319982619e-02
2.175732217573221605e-01	7.782330860286793772e+00	3.810077261198172027e-02
2.217573221757321855e-01	7.781002318300997089e+00	3.837277447145004405e-02
2.259414225941422660e-01	7.779664699948694917e+00	3.869062900639030217e-02
2.301255230125522910e-01	7.778291230159360303e+00	3.888879505348753762e-02
2.343096234309623160e-01	7.776807389895214584e+00	3.908157650954156154e-02
2.384937238493723688e-01	7.775241436223040203e+00	3.919274495509616346e-02
2.426778242677823938e-01	7.773643843564485678e+00	3.931881057622672176e-02
2.468619246861924743e-01	7.772059104581557243e+00	3.945185807283142082e-02
2.510460251046024993e-01	7.770436110960586618e+00	3.950386904315750930e-02
2.552301255230124966e-01	7.768711113431096216e+00	3.960402135889386915e-02
2.594142259414226048e-01	7.766945123873433054e+00	3.971301428262469929e-02
2.635983263598326021e-01	7.765170747134805040e+00	3.978319383897983147e-02
2.677824267782426548e-01	7.763362240942480952e+00	3.986920929944477027e-02
2.719665271966527076e-01	7.761579045477066785e+00	3.995737283146207075e-02
2.761506276150627048e-01	7.759780098999130793e+00	4.012185028439778367e-02
2.803347280334728131e-01	7.758024074460915465e+00	4.043701213436061426e-02
2.845188284518828103e-01	7.756099148864280757e+00	4.084487723606175513e-02
2.887029288702928631e-01	7.754130195989450414e+00	4.122507593691608629e-02
2.928870292887029159e-01	7.752216070048082663e+00	4.158516373862525262e-02
2.970711297071129131e-01	7.750242469894275565e+00	4.188924620047457248e-02
3.012552301255229659e-01	7.748234248310883920e+00	4.216722570838272316e-02
3.054393305439330186e-01	7.746293276146487550e+00	4.236718752231588558e-02
3.096234309623430714e-01	7.744411240502086180e+00	4.263444600588060102e-02
3.138075313807531241e-01	7.742568071617085934e+00	4.293625194208954693e-02
3.179916317991631214e-01	7.740697839392931989e+00	4.322956844275250426e-02
3.221757322175731741e-01	7.738811765866239867e+00	4.350192697411096876e-02
3.263598326359832269e-01	7.736903839005060846e+00	4.384201057143677360e-02
3.305439330543932797e-01	7.735105541717634203e+00	4.408921867573037390e-02
3.347280334728033324e-01	7.733335684401822618e+00	4.439926643718213745e-02
