# Time	Mean	Std
0.000000000000000000e+00	7.704117917585351805e+00	3.335031427344994914e-02
4.184100418410041482e-03	7.707207898587739692e+00	2.990833869302084169e-02
8.368200836820082963e-03	7.706552738452062457e+00	2.763932533222918445e-02
1.255230125523012184e-02	7.704791693438990841e+00	2.566757470168858080e-02
1.673640167364016593e-02	7.702296266079144083e+00	2.373333797270508333e-02
2.092050209205020828e-02	7.699693005800927637e+00	2.213623008139355489e-02
2.510460251046024716e-02	7.697053394793880621e+00	2.108486605323428228e-02
2.928870292887028950e-02	7.694506726539381170e+00	2.044108835365157986e-02
3.347280334728033185e-02	7.692239295197882853e+00	2.001226160133329560e-02
3.765690376569037073e-02	7.690352051569830927e+00	1.988372169023464725e-02
4.184100418410041655e-02	7.688542292841662018e+00	2.039793785424224432e-02
4.602510460251046237e-02	7.686870256031959947e+00	2.085031818680860988e-02
5.020920502092049431e-02	7.685170035452154380e+00	2.141447060893159754e-02
5.439330543933054013e-02	7.683533723011907846e+00	2.219919040197153651e-02
5.857740585774058595e-02	7.682052087486582970e+00	2.314248563131348149e-02
6.276150627615062483e-02	7.680502682034845208e+00	2.402174933882936930e-02
6.694560669456066371e-02	7.678765648940289346e+00	2.486486593160138620e-02
7.112970711297070259e-02	7.676828297188419192e+00	2.567459972629199810e-02
7.531380753138074147e-02	7.674757129149705648e+00	2.649564395478621812e-02
7.949790794979078035e-02	7.672484363238695870e+00	2.738960136134918968e-02
8.368200836820083310e-02	7.670068839565625574e+00	2.839980761018677177e-02
8.786610878661087198e-02	7.667505903101793585e+00	2.938336400642771809e-02
9.205020920502092474e-02	7.664703550051997993e+00	3.031957533255184509e-02
9.623430962343096362e-02	7.661652617947515509e+00	3.122610330034726947e-02
1.004184100418409886e-01	7.658468250108227515e+00	3.208306623053312073e-02
1.046025104602510414e-01	7.655100282044836391e+00	3.304339536632449476e-02
1.087866108786610803e-01	7.651233929144859225e+00	3.425503704456741433e-02
1.129707112970711330e-01	7.646982481632071504e+00	3.533545239505116176e-02
1.171548117154811719e-01	7.642636773457551769e+00	3.629651985231396871e-02
1.213389121338911830e-01	7.638166721270957638e+00	3.714000065918936916e-02
1.255230125523012497e-01	7.633650200798919094e+00	3.798091317872019645e-02
1.297071129707113024e-01	7.629061200414836819e+00	3.872320145377389222e-02
1.338912133891213274e-01	7.624421926097043389e+00	3.934226973862618715e-02
1.380753138075313524e-01	7.619768917453220602e+00	3.989807526614680411e-02
1.422594142259413774e-01	7.615058930438743268e+00	4.047653141564370310e-02
1.464435146443514579e-01	7.610299557238945134e+00	4.127490586438285758e-02
1.506276150627614829e-01	7.605346396629189876e+00	4.207451442910172673e-02
1.548117154811715357e-01	7.600266490320601420e+00	4.281691319790868061e-02
1.589958158995815607e-01	7.595121501521425067e+00	4.359138405129008714e-02
