# Time	Mean	Std
0.000000000000000000e+00	7.686993445432785066e+00	4.425474762124299855e-02
4.184100418410041482e-03	7.679237994628064001e+00	3.533223880270324607e-02
8.368200836820082963e-03	7.664658787761965186e+00	3.042645307055398887e-02
1.255230125523012184e-02	7.649540215308218372e+00	2.776899027569547720e-02
1.673640167364016593e-02	7.634859976936213322e+00	2.642786594497073538e-02
2.092050209205020828e-02	7.621389132891121854e+00	2.573432806861009406e-02
2.510460251046024716e-02	7.609165216720701785e+00	2.535281346869425190e-02
2.928870292887028950e-02	7.598098790602994868e+00	2.520750551038167253e-02
3.347280334728033185e-02	7.587908596123484450e+00	2.537626686899715697e-02
3.765690376569037073e-02	7.578151387939058736e+00	2.565744494263191497e-02
4.184100418410041655e-02	7.568812189532787116e+00	2.602472809817144711e-02
4.602510460251046237e-02	7.559535620348214913e+00	2.660765927573380957e-02
5.020920502092049431e-02	7.549539473504015774e+00	2.749373113417538650e-02
5.439330543933054013e-02	7.539410888357561902e+00	2.916627494658115619e-02
5.857740585774058595e-02	7.529247864672712787e+00	3.120484506822464310e-02
6.276150627615062483e-02	7.519222427391266450e+00	3.336837123179756115e-02
6.694560669456066371e-02	7.509108477227627532e+00	3.525594608065896890e-02
7.112970711297070259e-02	7.497887648973608599e+00	3.666524598602804302e-02
7.531380753138074147e-02	7.486240082802897433e+00	3.820434209532733161e-02
7.949790794979078035e-02	7.473990063996249766e+00	3.918296302680409487e-02
8.368200836820083310e-02	7.461119784030072033e+00	4.020408640074345230e-02
8.786610878661087198e-02	7.447040148957595918e+00	4.117519874464786039e-02
9.205020920502092474e-02	7.432413699077414115e+00	4.199020144152734724e-02
9.623430962343096362e-02	7.418719179146535225e+00	4.320698015458016711e-02
1.004184100418409886e-01	7.405510299597436230e+00	4.456976704024049468e-02
1.046025104602510414e-01	7.391687344827023942e+00	4.737797088189099615e-02
1.087866108786610803e-01	7.376996804703114030e+00	5.130862030418914532e-02
1.129707112970711330e-01	7.361329883735423074e+00	5.509223466603379443e-02
1.171548117154811719e-01	7.346461526070169334e+00	5.887302215265986793e-02
1.213389121338911830e-01	7.332543065610755306e+00	6.221065397625739207e-02
1.255230125523012497e-01	7.318456264204001194e+00	6.565857066983965540e-02
1.297071129707113024e-01	7.305089754540341040e+00	6.848707518454560939e-02
1.338912133891213274e-01	7.291759757185318769e+00	7.007314657273443215e-02
1.380753138075313524e-01	7.278691556918023053e+00	7.154495229373299126e-02
1.422594142259413774e-01	7.265632625077743434e+00	7.324108937584500323e-02
1.464435146443514579e-01	7.252118962959646531e+00	7.415033814135001122e-02
1.506276150627614829e-01	7.237706769813765817e+00	7.459655909956885989e-02
1.548117154811715357e-01	7.221973999524047727e+00	7.503802635707260138e-02
1.589958158995815607e-01	7.205548716991594382e+00	7.555448768830910766e-02
1.631799163179916135e-01	7.189231036943951381e+00	7.544594062467237239e-02
