# Time	Mean	Std
0.000000000000000000e+00	7.678945977163689207e+00	4.789182344383306755e-02
4.184100418410041482e-03	7.694855499854218905e+00	4.069021035595569991e-02
8.368200836820082963e-03	7.706850196625364191e+00	3.621755238031665325e-02
1.255230125523012184e-02	7.716611741224742360e+00	3.307471730107842262e-02
1.673640167364016593e-02	7.724869816268117084e+00	3.086150976134559992e-02
2.092050209205020828e-02	7.732164829061334288e+00	2.910607416245573897e-02
2.510460251046024716e-02	7.738814332702362186e+00	2.779136474911417937e-02
2.928870292887028950e-02	7.745017617078599592e+00	2.678468080007152807e-02
3.347280334728033185e-02	7.750805005992185137e+00	2.597364717729278710e-02
3.765690376569037073e-02	7.756348349262078834e+00	2.505019297124410488e-02
4.184100418410041655e-02	7.761630763289750767e+00	2.423122544417653096e-02
4.602510460251046237e-02	7.766649645075834663e+00	2.351901904093077478e-02
5.020920502092049431e-02	7.771349016761806894e+00	2.290993929123605680e-02
5.439330543933054013e-02	7.775788126612336981e+00	2.228044255260980960e-02
5.857740585774058595e-02	7.780016184351797648e+00	2.169987359166349397e-02
6.276150627615062483e-02	7.784080386410492380e+00	2.123968208238765504e-02
6.694560669456066371e-02	7.788006822834222298e+00	2.091724887775497227e-02
7.112970711297070259e-02	7.791592618408159865e+00	2.067598441096704653e-02
7.531380753138074147e-02	7.794996222841972688e+00	2.039020451442624671e-02
7.949790794979078035e-02	7.798271873714023528e+00	2.013960010951210133e-02
8.368200836820083310e-02	7.801346743719070886e+00	1.990264380596486887e-02
8.786610878661087198e-02	7.804297689891622092e+00	1.970009065750760041e-02
9.205020920502092474e-02	7.807232305683531770e+00	1.962382556360785582e-02
9.623430962343096362e-02	7.810044892286288842e+00	1.959715021840575597e-02
1.004184100418409886e-01	7.812626565933864953e+00	1.968647914366495125e-02
1.046025104602510414e-01	7.815070786646264978e+00	1.982908775352401967e-02
1.087866108786610803e-01	7.817323572172102608e+00	1.987339816851856761e-02
1.129707112970711330e-01	7.819505775332038056e+00	1.996602035296871080e-02
1.171548117154811719e-01	7.821624723794617040e+00	2.012254063650793443e-02
1.213389121338911830e-01	7.823682173667230622e+00	2.036873666628492494e-02
1.255230125523012497e-01	7.825620266274487591e+00	2.057439264414960556e-02
1.297071129707113024e-01	7.827561963800511613e+00	2.075193253644074323e-02
1.338912133891213274e-01	7.829380737767315246e+00	2.098067983201108710e-02
1.380753138075313524e-01	7.831138667209583737e+00	2.123061982486063731e-02
1.422594142259413774e-01	7.832787442921739007e+00	2.145640518535679372e-02
1.464435146443514579e-01	7.834268088616011205e+00	2.161120886921993542e-02
1.506276150627614829e-01	7.835548299671424743e+00	2.176258866645645884e-02
1.548117154811715357e-01	7.836687511864975697e+00	2.191304236880158712e-02
1.589958158995815607e-01	7.837795509855941312e+00	2.211181054433969395e-02
1.631799163179916135e-01	7.838833919922189253e+00	2.231839975225005310e-02
1.673640167364016662e-01	7.839816242597044571e+00	2.252162792133030264e-02
1.715481171548116912e-01	7.840818344977623866e+00	2.273088500138514476e-02
1.757322175732217440e-01	7.841762470144626462e+00	2.279289344174999579e-02
1.799163179916317690e-01	7.842662207990666268e+00	2.287464531582545160e-02
1.841004184100418495e-01	7.843466952857096608e+00	2.303550824692485524e-02
1.882845188284518745e-01	7.844077197675714430e+00	2.311474804325499774e-02
1.924686192468618995e-01	7.844664828416501479e+00	2.330281161555401714e-02
1.966527196652719522e-01	7.845200920015909851e+00	2.360241875794954342e-02
2.008368200836819772e-01	7.845672940387756533e+00	2.390886827941129250e-02
2.050209205020920578e-01	7.846170321597051966e+00	2.424286243422470524e-02
2.092050209205020828e-01	7.846616128967647263e+00	2.454639710008562833e-02
2.133891213389121078e-01	7.847164986505742235e+00	2.479602716405865034e-02
2.175732217573221605e-01	7.847690169159372786e+00	2.506425710798287909e-02
2.217573221757321855e-01	7.848163600358393666e+00	2.546037199171330423e-02
2.259414225941422660e-01	7.848501686261089461e+00	2.586590808288002571e-02
2.301255230125522910e-01	7.848861937831385305e+00	2.622969996467290621e-02
2.343096234309623160e-01	7.849199744481350827e+00	2.664617108143210039e-02
2.384937238493723688e-01	7.849478108903006124e+00	2.707399193095740356e-02
2.426778242677823938e-01	7.849673243268679101e+00	2.740164020230171499e-02
2.468619246861924743e-01	7.849860341595101154e+00	2.766832551617260175e-02
2.510460251046024993e-01	7.850164654532095554e+00	2.796288818741962320e-02
2.552301255230124966e-01	7.850497789472340671e+00	2.830528709837275281e-02
2.594142259414226048e-01	7.850802015299439773e+00	2.868404701952927127e-02
2.635983263598326021e-01	7.851069094155607608e+00	2.904723264609394839e-02
2.677824267782426548e-01	7.851207394743008550e+00	2.937171463384733588e-02
2.719665271966527076e-01	7.851356695326646040e+00	2.970430012826701452e-02
2.761506276150627048e-01	7.851480251391285137e+00	3.006407959194672130e-02
2.803347280334728131e-01	7.851605912469655557e+00	3.047317417707698373e-02
2.845188284518828103e-01	7.851732347581952709e+00	3.075566464633384955e-02
2.887029288702928631e-01	7.851832693780331773e+00	3.095290205846658663e-02
2.928870292887029159e-01	7.851911719024585068e+00	3.116799851530829141e-02
2.970711297071129131e-01	7.851988098711788489e+00	3.140529485001737620e-02
3.012552301255229659e-01	7.852058632134771621e+00	3.163475984158058835e-02
3.054393305439330186e-01	7.852047155067476858e+00	3.193627580160226381e-02
3.096234309623430714e-01	7.851998222381755710e+00	3.219959713068649976e-02
3.138075313807531241e-01	7.851902947861291615e+00	3.246298694726350298e-02
3.179916317991631214e-01	7.851811415638496605e+00	3.275068565984539520e-02
3.221757322175731741e-01	7.851701820945505617e+00	3.293798856638240069e-02
3.263598326359832269e-01	7.851493712599006081e+00	3.312891694957045829e-02
3.305439330543932797e-01	7.851322295063633661e+00	3.331150824098270263e-02
3.347280334728033324e-01	7.851099437122041280e+00	3.347648355846021689e-02
3.389121338912133297e-01	7.850905797410941744e+00	3.359333146971253681e-02
3.430962343096233824e-01	7.850740357902162181e+00	3.370528939146676811e-02
3.472803347280334907e-01	7.850482273202179506e+00	3.387021157319567571e-02
3.514644351464434879e-01	7.850142711540937235e+00	3.407654540867337267e-02
3.556485355648535407e-01	7.849755633544730493e+00	3.419860733624756344e-02
3.598326359832635379e-01	7.849393966681177837e+00	3.436951110785388397e-02
3.640167364016735907e-01	7.849100711098503602e+00	3.465741980056625399e-02
3.682008368200836990e-01	7.848794737512642783e+00	3.497929433792351661e-02
3.723849372384936962e-01	7.848460640246107900e+00	3.532296334958148071e-02
3.765690376569037490e-01	7.848198492731955689e+00	3.574510005081611708e-02
3.807531380753137462e-01	7.847954085447836903e+00	3.616164206794100777e-02
3.849372384937237990e-01	7.847645646860801349e+00	3.652050931425773750e-02
3.891213389121339072e-01	7.847320232104193494e+00	3.689998895510321342e-02
3.933054393305439045e-01	7.847060106791034606e+00	3.731023411500041659e-02
3.974895397489539572e-01	7.846799209057319757e+00	3.774832238526396044e-02
4.016736401673639545e-01	7.846609326360625580e+00	3.820105904803509922e-02
4.058577405857740072e-01	7.846504403779747783e+00	3.860346269371471573e-02
4.100418410041841155e-01	7.846367787727564824e+00	3.896726938205995194e-02
