# Time	Mean	Std
0.000000000000000000e+00	7.696894633313333678e+00	3.921144828613029598e-02
4.184100418410041482e-03	7.702915123270585696e+00	2.938787874250740201e-02
8.368200836820082963e-03	7.703929661993256239e+00	2.519316251486150918e-02
1.255230125523012184e-02	7.703717782688969784e+00	2.279509356963699274e-02
1.673640167364016593e-02	7.703106455955888165e+00	2.127987470269283518e-02
2.092050209205020828e-02	7.702505876532274698e+00	2.036597385460742204e-02
2.510460251046024716e-02	7.701930367744862060e+00	1.979598880326176660e-02
2.928870292887028950e-02	7.701124145666321752e+00	1.970242106334304036e-02
3.347280334728033185e-02	7.700406939580377141e+00	1.965732860964547121e-02
3.765690376569037073e-02	7.699498418321513604e+00	1.937774895819992585e-02
4.184100418410041655e-02	7.698707957980152727e+00	1.918479231000806348e-02
4.602510460251046237e-02	7.697871480454143267e+00	1.919518477707127593e-02
5.020920502092049431e-02	7.697193491474627614e+00	1.939589691142056677e-02
5.439330543933054013e-02	7.696757864812099115e+00	1.972038191608725677e-02
5.857740585774058595e-02	7.696469368320265403e+00	2.004077813122466176e-02
6.276150627615062483e-02	7.696173367243705599e+00	2.041027634491979215e-02
6.694560669456066371e-02	7.695751255931620349e+00	2.077482555625993765e-02
7.112970711297070259e-02	7.695302408750791301e+00	2.112717697567688749e-02
7.531380753138074147e-02	7.694780391058831270e+00	2.164772330258056196e-02
7.949790794979078035e-02	7.694251930655098271e+00	2.225648616135945598e-02
8.368200836820083310e-02	7.693685564316101733e+00	2.289132722126361805e-02
8.786610878661087198e-02	7.693042179175971995e+00	2.354011378838377980e-02
9.205020920502092474e-02	7.692218161306466406e+00	2.409855569810777018e-02
9.623430962343096362e-02	7.691385899099029366e+00	2.475809805912266084e-02
1.004184100418409886e-01	7.690578215644497284e+00	2.538613002079863346e-02
1.046025104602510414e-01	7.689595687790974132e+00	2.608906882275081537e-02
1.087866108786610803e-01	7.688486171400283453e+00	2.697645614431186389e-02
1.129707112970711330e-01	7.686997252767853617e+00	2.840854096536747989e-02
1.171548117154811719e-01	7.685378787385364951e+00	2.972364575929192787e-02
1.213389121338911830e-01	7.683661943571107322e+00	3.098921899262124455e-02
