# Time	Mean	Std
0.000000000000000000e+00	7.704543671261379068e+00	3.919302092856707248e-02
4.184100418410041482e-03	7.689870224742771043e+00	3.575095056024852475e-02
8.368200836820082963e-03	7.673456605321370638e+00	3.415155412420701336e-02
1.255230125523012184e-02	7.657314987290373409e+00	3.368834538840659309e-02
1.673640167364016593e-02	7.642982742883543956e+00	3.415020938282201796e-02
2.092050209205020828e-02	7.629870680391431570e+00	3.513978498072951873e-02
2.510460251046024716e-02	7.617895671959574067e+00	3.639042382774197032e-02
2.928870292887028950e-02	7.606922975837481893e+00	3.774482363812587532e-02
3.347280334728033185e-02	7.596633893072868737e+00	3.934337899342128103e-02
3.765690376569037073e-02	7.586912979598452900e+00	4.097545505522962039e-02
4.184100418410041655e-02	7.577627265463670270e+00	4.249121852354031947e-02
4.602510460251046237e-02	7.568264700185750371e+00	4.394192737892207296e-02
5.020920502092049431e-02	7.558748216868985459e+00	4.588448323001113188e-02
5.439330543933054013e-02	7.548223457019000548e+00	4.878075664218700647e-02
5.857740585774058595e-02	7.537071509356113808e+00	5.163411959801464390e-02
6.276150627615062483e-02	7.525149244436772911e+00	5.427940768737143235e-02
6.694560669456066371e-02	7.512965149131431986e+00	5.661460983256377810e-02
7.112970711297070259e-02	7.501068766867701854e+00	5.881874142975938857e-02
7.531380753138074147e-02	7.489714025844215861e+00	6.104191953481174354e-02
7.949790794979078035e-02	7.478795320727482654e+00	6.294592618029674902e-02
8.368200836820083310e-02	7.467838324306906195e+00	6.390039966182942122e-02
8.786610878661087198e-02	7.457295536961131788e+00	6.481533379252801819e-02
9.205020920502092474e-02	7.446516203067637285e+00	6.586499248578359111e-02
9.623430962343096362e-02	7.435992400531962865e+00	6.703384317446414720e-02
1.004184100418409886e-01	7.425569436752713415e+00	6.826998619373438049e-02
1.046025104602510414e-01	7.414808021737285593e+00	6.975565161063319863e-02
1.087866108786610803e-01	7.404365868160577513e+00	7.090209906603783807e-02
1.129707112970711330e-01	7.393577901259949847e+00	7.218453160570235949e-02
1.171548117154811719e-01	7.382150355143902054e+00	7.352927435501975528e-02
1.213389121338911830e-01	7.370499609702731547e+00	7.435722671994665633e-02
1.255230125523012497e-01	7.358301515118868430e+00	7.585841856925280846e-02
1.297071129707113024e-01	7.344533415582189306e+00	7.682575688117636303e-02
1.338912133891213274e-01	7.330169467034249209e+00	7.766147089610307697e-02
1.380753138075313524e-01	7.315627098900723269e+00	7.822713847370882378e-02
1.422594142259413774e-01	7.301309624159729061e+00	7.910157271133025358e-02
1.464435146443514579e-01	7.286995884674701607e+00	8.028624801144311485e-02
1.506276150627614829e-01	7.272738209048893232e+00	8.123032451948086763e-02
1.548117154811715357e-01	7.258688488918187076e+00	8.258969108169732232e-02
1.589958158995815607e-01	7.243951398350222171e+00	8.457437306075279992e-02
1.631799163179916135e-01	7.229663908905203051e+00	8.635635426651067093e-02
1.673640167364016662e-01	7.216368952269736958e+00	8.781142097155102133e-02
1.715481171548116912e-01	7.203645707293566680e+00	8.967573412205902261e-02
1.757322175732217440e-01	7.191329510233215316e+00	9.168271764363099263e-02
1.799163179916317690e-01	7.179798384395239097e+00	9.337558665261834479e-02
1.841004184100418495e-01	7.168751333339178800e+00	9.486208047357419515e-02
1.882845188284518745e-01	7.157470288899556721e+00	9.659789866171995809e-02
1.924686192468618995e-01	7.144980036205477170e+00	9.923555147455082048e-02
1.966527196652719522e-01	7.132498559725379828e+00	1.019009632096940787e-01
2.008368200836819772e-01	7.120104206798663959e+00	1.043809642646309765e-01
2.050209205020920578e-01	7.107636862727643390e+00	1.072110273925113294e-01
2.092050209205020828e-01	7.095292698654544594e+00	1.086793821698396750e-01
2.133891213389121078e-01	7.082297524112478371e+00	1.092391127563782233e-01
