# Time	Mean	Std
0.000000000000000000e+00	7.692579945640138028e+00	4.957282416406719183e-02
4.184100418410041482e-03	7.715230102364635023e+00	4.141581489650212472e-02
8.368200836820082963e-03	7.729444539403474757e+00	3.647994870408201307e-02
1.255230125523012184e-02	7.740374157324490412e+00	3.278597365523722162e-02
1.673640167364016593e-02	7.749495674652679966e+00	2.995743998975313252e-02
2.092050209205020828e-02	7.757370499840694045e+00	2.771217318338346086e-02
2.510460251046024716e-02	7.764408426420827958e+00	2.585055290179981771e-02
2.928870292887028950e-02	7.771014844879397643e+00	2.446284033558205825e-02
3.347280334728033185e-02	7.777268704843688596e+00	2.335499918029793065e-02
3.765690376569037073e-02	7.783070955344668640e+00	2.251292111943135887e-02
4.184100418410041655e-02	7.788585559133172964e+00	2.180844889133414996e-02
4.602510460251046237e-02	7.793787263031799029e+00	2.123979876587622773e-02
5.020920502092049431e-02	7.798802627538115040e+00	2.080781015326818584e-02
5.439330543933054013e-02	7.803614295618340968e+00	2.041386746964061333e-02
5.857740585774058595e-02	7.808131627472429059e+00	2.005713848261487728e-02
6.276150627615062483e-02	7.812352662953576221e+00	1.973969250710639473e-02
6.694560669456066371e-02	7.816399523335204158e+00	1.952641297601148684e-02
7.112970711297070259e-02	7.820253733382045880e+00	1.915029879774517510e-02
7.531380753138074147e-02	7.823722441076322198e+00	1.898108389810237301e-02
7.949790794979078035e-02	7.826898887278241901e+00	1.888431873954766332e-02
8.368200836820083310e-02	7.829972312364183118e+00	1.875184657293385224e-02
8.786610878661087198e-02	7.832915913037084898e+00	1.858225254699170589e-02
9.205020920502092474e-02	7.835892828398535848e+00	1.842662802354387910e-02
9.623430962343096362e-02	7.838689760658796857e+00	1.828241297296170562e-02
1.004184100418409886e-01	7.841498441866238345e+00	1.816511518216183674e-02
1.046025104602510414e-01	7.844314112190533983e+00	1.817032007475281527e-02
1.087866108786610803e-01	7.847151617734963835e+00	1.814649664385134531e-02
1.129707112970711330e-01	7.849928022527021376e+00	1.801296707582300538e-02
1.171548117154811719e-01	7.852723352436709270e+00	1.787836487809512515e-02
1.213389121338911830e-01	7.855439155677308882e+00	1.782953577616763763e-02
1.255230125523012497e-01	7.857996752900590742e+00	1.779267957509938700e-02
1.297071129707113024e-01	7.860422190749573268e+00	1.784802859213243872e-02
1.338912133891213274e-01	7.862800057993599268e+00	1.789452552663153145e-02
1.380753138075313524e-01	7.865170463185601868e+00	1.797230918489904974e-02
1.422594142259413774e-01	7.867431860467961613e+00	1.789922138906232391e-02
1.464435146443514579e-01	7.869659440019576735e+00	1.771012683393608303e-02
1.506276150627614829e-01	7.871852217680948449e+00	1.744926523313755987e-02
1.548117154811715357e-01	7.874021074863694736e+00	1.725525379094362127e-02
1.589958158995815607e-01	7.876135805370673815e+00	1.691955692256816995e-02
1.631799163179916135e-01	7.878221555347683314e+00	1.654669700708276056e-02
1.673640167364016662e-01	7.880382056096298271e+00	1.633610576229728092e-02
1.715481171548116912e-01	7.882573859751986767e+00	1.625316182787206118e-02
1.757322175732217440e-01	7.884707932348328896e+00	1.622251575299945431e-02
1.799163179916317690e-01	7.886783755180264421e+00	1.617620871844957162e-02
1.841004184100418495e-01	7.888793493310490845e+00	1.602875391498402580e-02
1.882845188284518745e-01	7.890783081420903677e+00	1.595609244923030037e-02
1.924686192468618995e-01	7.892686688744345425e+00	1.590428815327570369e-02
1.966527196652719522e-01	7.894571904042291699e+00	1.600220407688788052e-02
2.008368200836819772e-01	7.896391562577166567e+00	1.599900004001116038e-02
2.050209205020920578e-01	7.898211239714556520e+00	1.602843487717326570e-02
2.092050209205020828e-01	7.899963773464398820e+00	1.616541689903465071e-02
2.133891213389121078e-01	7.901751738044969109e+00	1.621857985591308032e-02
2.175732217573221605e-01	7.903501663217531004e+00	1.618865509318065041e-02
2.217573221757321855e-01	7.905190707953043017e+00	1.618474593258384733e-02
2.259414225941422660e-01	7.906768482665913034e+00	1.624305352647514508e-02
2.301255230125522910e-01	7.908419592427304856e+00	1.622711168069050983e-02
2.343096234309623160e-01	7.910079024335385789e+00	1.625425917630694134e-02
2.384937238493723688e-01	7.911805320354591053e+00	1.631420404570175370e-02
2.426778242677823938e-01	7.913425891323328187e+00	1.632122408244999351e-02
2.468619246861924743e-01	7.914963654071586419e+00	1.620055877626934426e-02
2.510460251046024993e-01	7.916516889278541136e+00	1.606644873437575519e-02
2.552301255230124966e-01	7.918071399148812972e+00	1.595831998100761054e-02
2.594142259414226048e-01	7.919738117732913807e+00	1.584369826321955360e-02
2.635983263598326021e-01	7.921458440923866640e+00	1.560085128331299524e-02
2.677824267782426548e-01	7.923194970973989726e+00	1.540288588371426654e-02
2.719665271966527076e-01	7.924798183772034044e+00	1.528433606985071802e-02
2.761506276150627048e-01	7.926292192174051010e+00	1.517422135319730810e-02
2.803347280334728131e-01	7.927652202651180424e+00	1.512013423174024887e-02
