# Time	Mean	Std
0.000000000000000000e+00	7.741820968789852486e+00	5.328460746975746676e-02
4.184100418410041482e-03	7.742298401174227962e+00	4.482997570036248436e-02
8.368200836820082963e-03	7.741171878722743038e+00	3.957142065819184429e-02
1.255230125523012184e-02	7.739813892872024148e+00	3.604478882941748036e-02
1.673640167364016593e-02	7.738741376016585072e+00	3.379215335958356270e-02
2.092050209205020828e-02	7.737719932744723472e+00	3.203850917150721095e-02
2.510460251046024716e-02	7.736377011036567275e+00	3.047057803136213328e-02
2.928870292887028950e-02	7.735220475213595570e+00	2.947042018906011543e-02
3.347280334728033185e-02	7.734553485806278772e+00	2.893005761032748160e-02
3.765690376569037073e-02	7.734111883604631643e+00	2.858607474449948935e-02
4.184100418410041655e-02	7.733798551508124675e+00	2.847084001095707279e-02
4.602510460251046237e-02	7.733545526295206862e+00	2.816201971510719215e-02
5.020920502092049431e-02	7.733485161759999116e+00	2.797556122183558411e-02
5.439330543933054013e-02	7.733646398349050877e+00	2.775836530926773654e-02
5.857740585774058595e-02	7.733987340316250680e+00	2.768746041108341091e-02
6.276150627615062483e-02	7.734454260573874862e+00	2.760165727041347106e-02
6.694560669456066371e-02	7.734944394626700692e+00	2.761814776422151160e-02
7.112970711297070259e-02	7.735523759767895413e+00	2.774973118641350586e-02
7.531380753138074147e-02	7.736117202975900220e+00	2.794129034143203599e-02
7.949790794979078035e-02	7.736571866049116508e+00	2.806605155677531840e-02
8.368200836820083310e-02	7.737037065694390314e+00	2.820003485998736140e-02
8.786610878661087198e-02	7.737383640869638590e+00	2.848644165354105237e-02
9.205020920502092474e-02	7.737651206472636822e+00	2.886298826099681011e-02
9.623430962343096362e-02	7.737902519947151170e+00	2.923430385009322119e-02
1.004184100418409886e-01	7.738168665781784306e+00	2.975657897868140903e-02
1.046025104602510414e-01	7.738371560497400381e+00	3.018810571000362514e-02
1.087866108786610803e-01	7.738678279054146181e+00	3.058832632183292044e-02
1.129707112970711330e-01	7.738956694749000498e+00	3.101444432335999021e-02
1.171548117154811719e-01	7.739143342214419796e+00	3.158076756870908941e-02
1.213389121338911830e-01	7.739256054853821176e+00	3.212648373978375244e-02
1.255230125523012497e-01	7.739277571058031491e+00	3.283556593150122743e-02
1.297071129707113024e-01	7.739197020386942683e+00	3.361434488595668041e-02
1.338912133891213274e-01	7.739019885341837046e+00	3.461996621307293631e-02
1.380753138075313524e-01	7.738788887956228102e+00	3.551433223283421287e-02
1.422594142259413774e-01	7.738481851919227772e+00	3.649577458037183558e-02
1.464435146443514579e-01	7.738210354691688053e+00	3.753804985525720228e-02
1.506276150627614829e-01	7.737730541170355636e+00	3.898359860933841431e-02
1.548117154811715357e-01	7.737221314533109684e+00	4.031605870056740454e-02
1.589958158995815607e-01	7.736646149284862162e+00	4.153653888742887823e-02
1.631799163179916135e-01	7.736113814903178287e+00	4.263629677934984569e-02
1.673640167364016662e-01	7.735774284764304731e+00	4.360948628939535082e-02
1.715481171548116912e-01	7.735604840566298712e+00	4.452623623929108376e-02
1.757322175732217440e-01	7.735415876569359916e+00	4.541274140957621969e-02
1.799163179916317690e-01	7.735083736436350499e+00	4.632259341400400687e-02
1.841004184100418495e-01	7.734415771448334809e+00	4.772595530178780354e-02
1.882845188284518745e-01	7.733581793271476990e+00	4.933530507149960775e-02
1.924686192468618995e-01	7.732759194109741330e+00	5.084248266565931373e-02
1.966527196652719522e-01	7.732040118856597921e+00	5.220863437809826479e-02
2.008368200836819772e-01	7.731494398465965645e+00	5.328513290264464547e-02
2.050209205020920578e-01	7.730989842525811007e+00	5.418144688251881613e-02
2.092050209205020828e-01	7.730498164375924297e+00	5.511143982244342404e-02
2.133891213389121078e-01	7.729972167251141890e+00	5.615910468347496548e-02
2.175732217573221605e-01	7.729362484917404075e+00	5.756376451332560068e-02
2.217573221757321855e-01	7.728834624841026013e+00	5.889716421564851478e-02
2.259414225941422660e-01	7.728312822498605072e+00	6.015646422177758912e-02
2.301255230125522910e-01	7.727827472665837583e+00	6.132565643794461036e-02
2.343096234309623160e-01	7.727377291141550586e+00	6.238225268125676543e-02
2.384937238493723688e-01	7.726860522005594589e+00	6.337269382794596950e-02
2.426778242677823938e-01	7.726240809671663712e+00	6.442667775732832669e-02
2.468619246861924743e-01	7.725605561823987166e+00	6.537273583857057535e-02
2.510460251046024993e-01	7.724987138031993439e+00	6.619786636619537368e-02
2.552301255230124966e-01	7.724435650856887214e+00	6.699031427279826534e-02
2.594142259414226048e-01	7.723886167343835929e+00	6.768277226389078638e-02
2.635983263598326021e-01	7.723419334604128217e+00	6.842275357448203421e-02
2.677824267782426548e-01	7.723027477969135468e+00	6.929416784236176741e-02
2.719665271966527076e-01	7.722544056943439372e+00	7.025997033429161320e-02
2.761506276150627048e-01	7.722115907928668754e+00	7.118019150933833916e-02
2.803347280334728131e-01	7.721746382991628188e+00	7.194602481552832274e-02
2.845188284518828103e-01	7.721295278726727496e+00	7.259630436162183009e-02
2.887029288702928631e-01	7.720794277780198556e+00	7.322631456374731340e-02
2.928870292887029159e-01	7.720404904132627699e+00	7.379239005949674024e-02
2.970711297071129131e-01	7.719993669849439577e+00	7.443415383919936568e-02
3.012552301255229659e-01	7.719749756178956979e+00	7.514731939174519593e-02
3.054393305439330186e-01	7.719483033693980367e+00	7.579641275025512936e-02
3.096234309623430714e-01	7.719152811948997162e+00	7.635726737593931390e-02
3.138075313807531241e-01	7.718785664665407609e+00	7.694003207514490961e-02
3.179916317991631214e-01	7.718351052796937672e+00	7.742940998619375625e-02
3.221757322175731741e-01	7.717845871244566780e+00	7.774965637225467185e-02
3.263598326359832269e-01	7.717278714472124435e+00	7.810684015289877380e-02
3.305439330543932797e-01	7.716681132621855177e+00	7.862640042002373708e-02
3.347280334728033324e-01	7.716150605364382464e+00	7.917927834122763520e-02
3.389121338912133297e-01	7.715565563107560365e+00	7.966875358656518025e-02
3.430962343096233824e-01	7.715003637848283802e+00	7.994636586971874681e-02
3.472803347280334907e-01	7.714542258366416938e+00	8.020467836068861933e-02
3.514644351464434879e-01	7.714226648035706013e+00	8.045282467610173627e-02
3.556485355648535407e-01	7.713900047917821468e+00	8.075889630270406683e-02
3.598326359832635379e-01	7.713504603312876462e+00	8.115066976102326690e-02
3.640167364016735907e-01	7.712991052087890154e+00	8.151049660641582206e-02
3.682008368200836990e-01	7.712466766604108237e+00	8.202696063313608121e-02
3.723849372384936962e-01	7.711973270237724165e+00	8.261334715162277353e-02
3.765690376569037490e-01	7.711507334003034231e+00	8.328167099126626560e-02
3.807531380753137462e-01	7.710977911666631712e+00	8.397583248532723699e-02
3.849372384937237990e-01	7.710366141831972442e+00	8.463958223873539743e-02
3.891213389121339072e-01	7.709619858542253290e+00	8.521402908625817785e-02
3.933054393305439045e-01	7.708959270476099412e+00	8.575835990171426504e-02
3.974895397489539572e-01	7.708379017583383508e+00	8.629221856948675329e-02
4.016736401673639545e-01	7.707739964652125408e+00	8.680768266555129176e-02
4.058577405857740072e-01	7.707173956659871372e+00	8.737759224506434774e-02
4.100418410041841155e-01	7.706681504055633347e+00	8.796895499344067892e-02
4.142259414225941128e-01	7.706241305130317798e+00	8.861392000079164333e-02
4.184100418410041655e-01	7.705786642688599031e+00	8.925793694902722786e-02
4.225941422594141628e-01	7.705361190045540987e+00	8.974778604344857413e-02
4.267782426778242155e-01	7.704711996428136977e+00	9.012007644625200098e-02
4.309623430962343238e-01	7.703917520011315467e+00	9.053074643270270228e-02
4.351464435146443210e-01	7.703118945768555825e+00	9.112265401831928791e-02
4.393305439330543738e-01	7.702380376216302338e+00	9.167453457961653729e-02
4.435146443514643710e-01	7.701709365805188057e+00	9.218081387293627915e-02
4.476987447698744238e-01	7.700968434552921238e+00	9.262926230924332927e-02
4.518828451882845321e-01	7.700326716345958999e+00	9.301296864558773747e-02
4.560669456066945293e-01	7.699760065190213609e+00	9.341905859310753457e-02
