# Time	Mean	Std
0.000000000000000000e+00	7.697547042286918995e+00	4.575838451741711527e-02
4.184100418410041482e-03	7.690226746988971129e+00	3.836756903606355906e-02
8.368200836820082963e-03	7.679386551997567700e+00	3.443059346256743813e-02
1.255230125523012184e-02	7.668291933230836577e+00	3.183691599073305151e-02
1.673640167364016593e-02	7.657618970057315622e+00	3.014068257248487398e-02
2.092050209205020828e-02	7.647612009807607691e+00	2.932730437120239370e-02
2.510460251046024716e-02	7.638407693650800745e+00	2.889688655759574745e-02
2.928870292887028950e-02	7.629897061352068910e+00	2.885400789636589566e-02
3.347280334728033185e-02	7.622254161755861901e+00	2.925756772691715663e-02
3.765690376569037073e-02	7.615268570588551000e+00	3.007744463826692374e-02
4.184100418410041655e-02	7.608768007750071227e+00	3.105362101926901694e-02
4.602510460251046237e-02	7.602493446225493834e+00	3.212782192579480972e-02
5.020920502092049431e-02	7.596469913308124156e+00	3.340451792713160922e-02
5.439330543933054013e-02	7.590303882838645322e+00	3.485145373900989940e-02
5.857740585774058595e-02	7.584013428423721948e+00	3.651998479895728761e-02
6.276150627615062483e-02	7.577802425861449365e+00	3.823387303258483916e-02
6.694560669456066371e-02	7.571739183058162403e+00	3.989283715213490927e-02
7.112970711297070259e-02	7.565812519378746437e+00	4.154812947129246647e-02
7.531380753138074147e-02	7.559576672337641412e+00	4.289125250864645605e-02
7.949790794979078035e-02	7.553392971190847405e+00	4.422206594354480269e-02
8.368200836820083310e-02	7.547206437762929099e+00	4.558587630010204478e-02
8.786610878661087198e-02	7.541384223245811036e+00	4.683796269379389421e-02
9.205020920502092474e-02	7.535221486910162803e+00	4.822952582897884616e-02
9.623430962343096362e-02	7.529103497804784162e+00	4.968469985966419283e-02
1.004184100418409886e-01	7.523192037832031609e+00	5.107315066539346721e-02
1.046025104602510414e-01	7.517323382633304796e+00	5.238519001357429955e-02
1.087866108786610803e-01	7.511434136686384377e+00	5.374577790921231113e-02
1.129707112970711330e-01	7.505445032821003615e+00	5.502821680152722439e-02
1.171548117154811719e-01	7.498800589278457274e+00	5.684562735346955498e-02
1.213389121338911830e-01	7.491750456444345119e+00	5.904432341497115044e-02
1.255230125523012497e-01	7.484336832152303387e+00	6.174295692021599530e-02
1.297071129707113024e-01	7.476718104412231725e+00	6.477174236603393254e-02
1.338912133891213274e-01	7.469411009412818991e+00	6.754962169588665799e-02
1.380753138075313524e-01	7.461560005496763459e+00	6.987486982976442995e-02
1.422594142259413774e-01	7.453902950966662111e+00	7.235110053476077885e-02
1.464435146443514579e-01	7.445850219353181920e+00	7.520804412254469828e-02
1.506276150627614829e-01	7.437811205400091552e+00	7.765689911769989295e-02
1.548117154811715357e-01	7.430051499352964939e+00	7.975493476304468254e-02
1.589958158995815607e-01	7.421637267168848417e+00	8.180273840056732915e-02
1.631799163179916135e-01	7.411583292342178275e+00	8.418451474280409796e-02
1.673640167364016662e-01	7.401601479135448969e+00	8.641308593353860812e-02
1.715481171548116912e-01	7.392300321768896509e+00	8.839583143579832214e-02
1.757322175732217440e-01	7.383616118494966685e+00	9.007998301835141997e-02
1.799163179916317690e-01	7.374817465181422449e+00	9.037786706137987403e-02
1.841004184100418495e-01	7.365659549710676934e+00	9.110840361410786625e-02
1.882845188284518745e-01	7.356581876355893002e+00	9.176070290667577567e-02
1.924686192468618995e-01	7.347329443901247537e+00	9.238347152366574444e-02
1.966527196652719522e-01	7.337527716669457689e+00	9.295173777721141284e-02
2.008368200836819772e-01	7.327169135557113577e+00	9.400286896181424268e-02
2.050209205020920578e-01	7.316916450238664993e+00	9.536974839907265411e-02
2.092050209205020828e-01	7.307004330008714632e+00	9.704832167235045992e-02
2.133891213389121078e-01	7.297451592704757850e+00	9.846578619098397822e-02
2.175732217573221605e-01	7.287168763054579834e+00	9.992483376311321608e-02
2.217573221757321855e-01	7.277204577666680940e+00	1.018687829589685206e-01
2.259414225941422660e-01	7.267323101528893936e+00	1.038185993868134399e-01
