# Time	Mean	Std
0.000000000000000000e+00	7.705133584185728246e+00	5.114057530161796733e-02
4.184100418410041482e-03	7.668887002197839031e+00	4.266931096205067719e-02
8.368200836820082963e-03	7.629565749087626969e+00	3.750748695256399257e-02
1.255230125523012184e-02	7.590222745664113368e+00	3.351732185066382680e-02
1.673640167364016593e-02	7.551375268538195407e+00	3.047984034067094741e-02
2.092050209205020828e-02	7.513059360233850015e+00	2.832108521158756276e-02
2.510460251046024716e-02	7.475545271484365095e+00	2.688479163138442207e-02
2.928870292887028950e-02	7.438863289225021269e+00	2.590476091613214474e-02
3.347280334728033185e-02	7.402718394722729300e+00	2.539188866212055418e-02
3.765690376569037073e-02	7.367028682561950426e+00	2.521654521212939037e-02
4.184100418410041655e-02	7.331885144925007758e+00	2.526329667211719976e-02
4.602510460251046237e-02	7.297194778590728070e+00	2.539893520941478508e-02
5.020920502092049431e-02	7.262803709674887642e+00	2.568716608970153872e-02
5.439330543933054013e-02	7.228611073915845786e+00	2.620097379594534329e-02
5.857740585774058595e-02	7.194260991142262363e+00	2.715871133652496272e-02
6.276150627615062483e-02	7.159530772965633005e+00	2.874044084605592228e-02
6.694560669456066371e-02	7.124574590408361274e+00	3.013665985280350110e-02
7.112970711297070259e-02	7.089660141809072336e+00	3.096666773928482413e-02
7.531380753138074147e-02	7.055067754173082406e+00	3.191554229480488003e-02
7.949790794979078035e-02	7.020180586150558177e+00	3.337848689860838797e-02
8.368200836820083310e-02	6.985860463867690662e+00	3.436775227812728650e-02
8.786610878661087198e-02	6.951860129598687266e+00	3.501311947872348673e-02
9.205020920502092474e-02	6.917952805738891264e+00	3.553436668388680608e-02
9.623430962343096362e-02	6.884009530444257230e+00	3.643708643107926304e-02
1.004184100418409886e-01	6.850381880846915905e+00	3.715965163728263826e-02
1.046025104602510414e-01	6.816011863731931797e+00	3.798516640597472682e-02
1.087866108786610803e-01	6.781601746121466157e+00	3.912440626535741706e-02
1.129707112970711330e-01	6.747526930893989139e+00	4.014415048042829087e-02
1.171548117154811719e-01	6.713548273119955390e+00	4.141487780121239082e-02
1.213389121338911830e-01	6.679527756176674380e+00	4.217428611642332070e-02
1.255230125523012497e-01	6.645330687463454566e+00	4.313037451770507236e-02
1.297071129707113024e-01	6.609815142513062902e+00	4.496361162883279194e-02
1.338912133891213274e-01	6.574346437017467792e+00	4.759487262181443662e-02
1.380753138075313524e-01	6.538796222584463358e+00	4.977838413375263588e-02
1.422594142259413774e-01	6.502651623551764182e+00	5.153852257068258086e-02
1.464435146443514579e-01	6.467325962093704916e+00	5.334327994906459119e-02
1.506276150627614829e-01	6.431954277335548475e+00	5.582663056430074711e-02
1.548117154811715357e-01	6.397321658027602886e+00	5.766090947202105049e-02
1.589958158995815607e-01	6.362340749976733711e+00	5.904688654842390333e-02
1.631799163179916135e-01	6.327643959375310878e+00	6.007356942409346201e-02
1.673640167364016662e-01	6.292901966300382455e+00	6.144492822281327066e-02
1.715481171548116912e-01	6.258129636587837830e+00	6.281516126904004849e-02
1.757322175732217440e-01	6.222963338605444150e+00	6.382758583986915257e-02
1.799163179916317690e-01	6.188149397419386410e+00	6.527631670091871285e-02
1.841004184100418495e-01	6.153403871423879679e+00	6.629658298331773947e-02
1.882845188284518745e-01	6.118408611960848731e+00	6.755178288593977065e-02
1.924686192468618995e-01	6.082933559623184827e+00	6.808090132333820266e-02
1.966527196652719522e-01	6.047098966593250857e+00	6.848128077945636605e-02
2.008368200836819772e-01	6.010805772121487145e+00	6.905392334987422998e-02
2.050209205020920578e-01	5.974507022692284508e+00	6.994791081474543981e-02
2.092050209205020828e-01	5.937654969983365838e+00	6.990020894632878456e-02
2.133891213389121078e-01	5.900909384216979525e+00	6.994315447682562803e-02
2.175732217573221605e-01	5.864656472758825956e+00	6.983418265523168300e-02
2.217573221757321855e-01	5.828451974640494804e+00	6.910517442455206549e-02
2.259414225941422660e-01	5.792435454779451653e+00	6.835741706287455643e-02
2.301255230125522910e-01	5.756898336808196959e+00	6.800423012603143413e-02
2.343096234309623160e-01	5.720877356249813417e+00	6.726029549491903403e-02
2.384937238493723688e-01	5.684872252167063600e+00	6.640460639472779703e-02
2.426778242677823938e-01	5.648749079278965191e+00	6.643749967652484711e-02
2.468619246861924743e-01	5.612412849553649608e+00	6.764270772172242818e-02
2.510460251046024993e-01	5.575639681407382753e+00	6.849521636285446635e-02
2.552301255230124966e-01	5.539144243055103445e+00	6.972217138197757402e-02
2.594142259414226048e-01	5.503185611700715185e+00	7.077729217041556220e-02
2.635983263598326021e-01	5.466614326357535525e+00	7.078874432316374643e-02
2.677824267782426548e-01	5.430699923856300515e+00	7.110835711941214388e-02
2.719665271966527076e-01	5.394258186689163459e+00	7.191920191356486469e-02
2.761506276150627048e-01	5.358089079754788209e+00	7.250530318066740476e-02
2.803347280334728131e-01	5.321727499912027426e+00	7.189273003155316477e-02
2.845188284518828103e-01	5.285265463408350683e+00	7.127804418729458136e-02
2.887029288702928631e-01	5.249340497893791202e+00	7.109311489349773305e-02
2.928870292887029159e-01	5.214045810589054142e+00	7.158902128008012844e-02
2.970711297071129131e-01	5.179553152427457619e+00	7.213342607549898255e-02
3.012552301255229659e-01	5.145391321190748712e+00	7.305598322619731577e-02
3.054393305439330186e-01	5.111436887207828406e+00	7.416042112002782516e-02
3.096234309623430714e-01	5.078386069661704028e+00	7.545542816575359635e-02
