# Time	Mean	Std
0.000000000000000000e+00	7.718905963235359380e+00	3.317034511456749823e-02
4.184100418410041482e-03	7.679136764600488441e+00	2.828617222187239377e-02
8.368200836820082963e-03	7.638305499350349415e+00	2.536502331130735186e-02
1.255230125523012184e-02	7.598128127873921223e+00	2.322726651898993078e-02
1.673640167364016593e-02	7.558789037050962278e+00	2.182164245448206877e-02
2.092050209205020828e-02	7.520575427395683299e+00	2.095980634953910349e-02
2.510460251046024716e-02	7.483228999732413733e+00	2.047053858576863491e-02
2.928870292887028950e-02	7.446647555585274247e+00	2.024954213239215511e-02
3.347280334728033185e-02	7.410817711573915112e+00	2.009330184114517526e-02
3.765690376569037073e-02	7.375529610421151183e+00	1.997474482825051245e-02
4.184100418410041655e-02	7.340685371730740094e+00	1.994890921802095970e-02
4.602510460251046237e-02	7.306253687575468447e+00	1.986504236503735393e-02
5.020920502092049431e-02	7.271913855784337244e+00	1.977418980408435223e-02
5.439330543933054013e-02	7.237636205859749872e+00	1.971620829648430134e-02
5.857740585774058595e-02	7.203443170067077794e+00	1.988224332545776574e-02
6.276150627615062483e-02	7.169095923404801063e+00	2.020124123709596611e-02
6.694560669456066371e-02	7.134709009326358320e+00	2.042834134859866646e-02
7.112970711297070259e-02	7.100291538699331717e+00	2.064132127006923154e-02
7.531380753138074147e-02	7.065593806384328879e+00	2.126605380889677946e-02
7.949790794979078035e-02	7.030650554478986791e+00	2.190801278224732695e-02
8.368200836820083310e-02	6.995654635412980937e+00	2.258795788365871790e-02
8.786610878661087198e-02	6.960053292542450087e+00	2.323429642587569385e-02
9.205020920502092474e-02	6.923999968469567001e+00	2.392080416323930439e-02
9.623430962343096362e-02	6.888821534843278194e+00	2.424084694991630873e-02
1.004184100418409886e-01	6.853744151122455719e+00	2.454608015265106330e-02
1.046025104602510414e-01	6.818805923099789723e+00	2.415623767522311754e-02
1.087866108786610803e-01	6.783824515583670944e+00	2.410908316694040932e-02
1.129707112970711330e-01	6.747746908226290863e+00	2.392941806247492545e-02
1.171548117154811719e-01	6.711345030860557337e+00	2.421362764883078569e-02
1.213389121338911830e-01	6.675056149962615315e+00	2.473704368113012128e-02
1.255230125523012497e-01	6.639065495482594947e+00	2.560975345759420110e-02
1.297071129707113024e-01	6.603871315961514554e+00	2.620781023651536784e-02
1.338912133891213274e-01	6.569340400730326657e+00	2.695048835294679840e-02
1.380753138075313524e-01	6.533978029293795231e+00	2.769970167347921355e-02
1.422594142259413774e-01	6.498398210743479453e+00	2.785353209721773415e-02
1.464435146443514579e-01	6.463711383878072425e+00	2.828690339779732499e-02
1.506276150627614829e-01	6.429504499497638470e+00	2.825630848564525052e-02
1.548117154811715357e-01	6.393954685830376405e+00	2.921034196947448064e-02
1.589958158995815607e-01	6.358292931855322294e+00	3.091629601039587102e-02
