# Time	Mean	Std
0.000000000000000000e+00	7.708218563930599565e+00	4.002913579820491924e-02
4.184100418410041482e-03	7.668203539376530209e+00	3.689040703856050901e-02
8.368200836820082963e-03	7.624301779583714023e+00	3.468282244263476422e-02
1.255230125523012184e-02	7.579957953299360618e+00	3.289746912404662577e-02
1.673640167364016593e-02	7.535759925455709940e+00	3.181364161519677908e-02
2.092050209205020828e-02	7.492102044691554497e+00	3.124691318551697447e-02
2.510460251046024716e-02	7.448775663826356919e+00	3.108654312625804342e-02
2.928870292887028950e-02	7.405826107373202127e+00	3.095792110253912238e-02
3.347280334728033185e-02	7.363105752877283194e+00	3.099159192813473809e-02
3.765690376569037073e-02	7.320456107563537707e+00	3.120548933482939630e-02
4.184100418410041655e-02	7.277780965769854227e+00	3.161563731766704743e-02
4.602510460251046237e-02	7.235066505953637872e+00	3.217300310503375810e-02
5.020920502092049431e-02	7.192323712969424854e+00	3.291106851762870544e-02
5.439330543933054013e-02	7.149484887634157460e+00	3.379291553003067189e-02
5.857740585774058595e-02	7.106417652182942746e+00	3.479937012949978203e-02
6.276150627615062483e-02	7.063171133098689047e+00	3.560502534013221254e-02
6.694560669456066371e-02	7.019823858591612620e+00	3.654860537189033587e-02
7.112970711297070259e-02	6.976110386387447626e+00	3.764410087611236994e-02
7.531380753138074147e-02	6.932286287814974912e+00	3.940762878856616386e-02
7.949790794979078035e-02	6.888352846393956064e+00	4.122076584890056045e-02
8.368200836820083310e-02	6.844743961116238395e+00	4.258406607507050218e-02
8.786610878661087198e-02	6.801129585767667685e+00	4.360736076820782847e-02
9.205020920502092474e-02	6.757180212413510745e+00	4.497912787578530608e-02
9.623430962343096362e-02	6.713415479520942419e+00	4.670643389935697637e-02
1.004184100418409886e-01	6.669651994876882206e+00	4.812284327336664724e-02
1.046025104602510414e-01	6.625506806104428215e+00	4.974504618914866311e-02
1.087866108786610803e-01	6.581850039087096427e+00	5.098429134554992997e-02
1.129707112970711330e-01	6.538055416134935349e+00	5.204976424487158665e-02
1.171548117154811719e-01	6.494244779140933232e+00	5.338267458224278672e-02
1.213389121338911830e-01	6.450116415079507171e+00	5.437884557220039328e-02
1.255230125523012497e-01	6.405709249724361953e+00	5.513558725105049269e-02
1.297071129707113024e-01	6.361812634184371262e+00	5.566300984857096984e-02
1.338912133891213274e-01	6.317718339303700859e+00	5.599859020324756548e-02
1.380753138075313524e-01	6.272930137198647671e+00	5.633329807221310742e-02
1.422594142259413774e-01	6.227980515383265470e+00	5.691792668234613162e-02
1.464435146443514579e-01	6.183362828637953612e+00	5.721510723205172622e-02
1.506276150627614829e-01	6.138731854847443437e+00	5.776945020685328447e-02
1.548117154811715357e-01	6.093712217121596275e+00	5.851685244048243639e-02
1.589958158995815607e-01	6.048468637855643593e+00	5.936255552044004957e-02
1.631799163179916135e-01	6.003275415728312581e+00	5.946483262148650334e-02
1.673640167364016662e-01	5.957723904406977411e+00	6.015172197772707813e-02
1.715481171548116912e-01	5.912149177502128872e+00	6.111088945013698481e-02
1.757322175732217440e-01	5.866751008720350491e+00	6.209422362633833237e-02
1.799163179916317690e-01	5.820612689565286324e+00	6.294017276416115358e-02
1.841004184100418495e-01	5.774570478618435310e+00	6.363868349414848746e-02
1.882845188284518745e-01	5.728396495021958579e+00	6.412673559789308642e-02
1.924686192468618995e-01	5.682162735018121857e+00	6.478695799595476923e-02
1.966527196652719522e-01	5.635891006649774049e+00	6.537720842060290583e-02
2.008368200836819772e-01	5.589346376259276106e+00	6.572001570863482411e-02
2.050209205020920578e-01	5.542695204634624062e+00	6.608478943445444953e-02
2.092050209205020828e-01	5.495666028901153410e+00	6.607281090790791123e-02
2.133891213389121078e-01	5.448670745252914394e+00	6.582079200614124326e-02
2.175732217573221605e-01	5.401460539478806666e+00	6.555428359019534190e-02
2.217573221757321855e-01	5.353858763556761602e+00	6.500837353513515271e-02
2.259414225941422660e-01	5.306005708069477578e+00	6.420510819028776850e-02
2.301255230125522910e-01	5.258282118932211091e+00	6.385657355394538937e-02
2.343096234309623160e-01	5.210971495320518621e+00	6.392830120777838465e-02
2.384937238493723688e-01	5.163538947025298143e+00	6.381185435286830521e-02
2.426778242677823938e-01	5.116129120077755665e+00	6.369322236082659849e-02
2.468619246861924743e-01	5.068618937505280364e+00	6.337740318919274363e-02
2.510460251046024993e-01	5.020852845119907037e+00	6.312763597515044789e-02
2.552301255230124966e-01	4.973051123640969351e+00	6.281483073363108849e-02
2.594142259414226048e-01	4.924639407548782266e+00	6.252428792572839455e-02
2.635983263598326021e-01	4.875988549054540044e+00	6.219252986210784678e-02
2.677824267782426548e-01	4.827080622811814159e+00	6.201396669584720300e-02
2.719665271966527076e-01	4.777845296788616025e+00	6.172149647681215295e-02
2.761506276150627048e-01	4.728039256049027195e+00	6.151800269089770234e-02
2.803347280334728131e-01	4.677770342171442941e+00	6.120822278601473210e-02
2.845188284518828103e-01	4.627109160985093617e+00	6.097806820000294115e-02
2.887029288702928631e-01	4.575998188938415367e+00	6.105043080949149742e-02
2.928870292887029159e-01	4.524859152029532261e+00	6.115991232066945310e-02
2.970711297071129131e-01	4.473209509472857448e+00	6.160203712513764168e-02
3.012552301255229659e-01	4.421428314438054841e+00	6.220674030848497016e-02
3.054393305439330186e-01	4.369150792465625877e+00	6.300059291075679746e-02
3.096234309623430714e-01	4.316725015598581017e+00	6.373146542988387953e-02
3.138075313807531241e-01	4.263839921031160607e+00	6.437337073223076134e-02
3.179916317991631214e-01	4.210352649445595397e+00	6.538986227973414556e-02
3.221757322175731741e-01	4.156425486432449468e+00	6.682069799199948090e-02
3.263598326359832269e-01	4.102494567154739258e+00	6.837299120305796729e-02
3.305439330543932797e-01	4.048286963209277722e+00	6.981030255914989768e-02
3.347280334728033324e-01	3.993104410344587407e+00	7.117375676522547101e-02
3.389121338912133297e-01	3.937625163013418028e+00	7.214603150164705658e-02
3.430962343096233824e-01	3.882211379685194252e+00	7.353555005297679470e-02
3.472803347280334907e-01	3.826598604981194196e+00	7.484770775009809418e-02
3.514644351464434879e-01	3.770641160198095143e+00	7.604920121624073048e-02
3.556485355648535407e-01	3.713677127489696694e+00	7.671460922483121225e-02
3.598326359832635379e-01	3.656272371271491739e+00	7.724008351269429085e-02
3.640167364016735907e-01	3.597256222589933383e+00	7.718063629638990952e-02
3.682008368200836990e-01	3.537482797895459719e+00	7.665680106903041691e-02
3.723849372384936962e-01	3.477147260951352070e+00	7.696565525487336634e-02
3.765690376569037490e-01	3.416333207782884074e+00	7.718891006461019166e-02
3.807531380753137462e-01	3.354960781050272178e+00	7.751014931254279761e-02
3.849372384937237990e-01	3.292429067163569201e+00	7.835638587254580012e-02
3.891213389121339072e-01	3.229555745244736098e+00	7.863316202907762176e-02
3.933054393305439045e-01	3.165360759534215696e+00	7.904223568184427784e-02
3.974895397489539572e-01	3.099763185528214837e+00	7.878149220357656690e-02
4.016736401673639545e-01	3.033033725654171953e+00	7.812722525592770417e-02
4.058577405857740072e-01	2.965728710349776698e+00	7.861653769211984777e-02
4.100418410041841155e-01	2.896905324695187911e+00	7.855194951854369001e-02
4.142259414225941128e-01	2.825990723791347303e+00	7.750816344356040166e-02
4.184100418410041655e-01	2.755438892920214933e+00	7.662132169491919775e-02
4.225941422594141628e-01	2.686677933265525731e+00	7.391903652904988076e-02
4.267782426778242155e-01	2.617888839315004379e+00	7.408955887337401180e-02
4.309623430962343238e-01	2.549052040043537026e+00	7.423246100343015852e-02
4.351464435146443210e-01	2.477672898073630670e+00	7.511563872293954003e-02
4.393305439330543738e-01	2.406911756233722333e+00	7.587422550598976745e-02
4.435146443514643710e-01	2.339380839828876457e+00	7.767924571707096604e-02
4.476987447698744238e-01	2.275446058245125247e+00	7.876763072182960124e-02
4.518828451882845321e-01	2.212795608037785744e+00	8.343555534450880495e-02
4.560669456066945293e-01	2.150916444630663893e+00	8.717989930316703828e-02
4.602510460251045821e-01	2.091115901472385907e+00	8.773621069810599860e-02
4.644351464435145793e-01	2.029208598302992606e+00	8.693583404156168815e-02
4.686192468619246321e-01	1.973045351624703736e+00	8.688025791164132039e-02
4.728033472803347403e-01	1.920321050327944645e+00	8.270666369505112747e-02
4.769874476987447376e-01	1.868730912044340498e+00	7.840220639434351824e-02
4.811715481171547903e-01	1.821730466438957530e+00	7.351092361816376208e-02
4.853556485355647876e-01	1.776415804031788559e+00	6.921430048393034662e-02
4.895397489539748404e-01	1.735911486090555567e+00	6.537829627369751151e-02
4.937238493723849486e-01	1.697895967816145157e+00	6.149621263577399743e-02
4.979079497907949459e-01	1.663903375691629050e+00	5.793142415936102657e-02
5.020920502092049986e-01	1.629999883686017226e+00	5.295946283238395919e-02
5.062761506276149959e-01	1.599922424012704791e+00	4.634521276031689646e-02
5.104602510460249931e-01	1.573293528755003168e+00	3.864478364578593367e-02
5.146443514644351014e-01	1.547311085246420692e+00	3.277186020458571630e-02
5.188284518828452097e-01	1.523024098727040698e+00	3.028593175321265402e-02
5.230125523012552069e-01	1.502951784420713421e+00	2.904680121159984932e-02
5.271966527196652041e-01	1.481764603858987783e+00	2.801580436306039257e-02
5.313807531380752014e-01	1.462421714550464324e+00	2.729181411617348854e-02
5.355648535564853097e-01	1.446862443655918762e+00	2.697083872715297370e-02
5.397489539748954179e-01	1.433531844223023377e+00	2.657080014462196230e-02
5.439330543933054152e-01	1.422248480508679025e+00	2.710065353849261394e-02
5.481171548117154124e-01	1.409904880159471352e+00	2.766755620245868810e-02
5.523012552301254097e-01	1.398392671028690026e+00	2.985701255534010598e-02
5.564853556485355179e-01	1.389445319046028082e+00	3.036003809529230421e-02
5.606694560669456262e-01	1.380468172427931295e+00	2.998347171823937188e-02
5.648535564853556235e-01	1.371966019834362616e+00	2.855274773797823046e-02
5.690376569037656207e-01	1.363934902262116999e+00	2.821310207068911113e-02
5.732217573221756179e-01	1.357789252561252935e+00	2.835917844243865046e-02
5.774058577405857262e-01	1.350520932717848677e+00	2.721556925852292377e-02
5.815899581589957235e-01	1.345980111759421005e+00	2.772265787210952820e-02
5.857740585774058317e-01	1.342982186708333581e+00	2.775891435663220205e-02
5.899581589958158290e-01	1.339206132157183093e+00	2.821402562566886416e-02
