# Time	Mean	Std
0.000000000000000000e+00	7.703552583133884468e+00	4.198134030568641262e-02
4.184100418410041482e-03	7.660448800849707141e+00	3.819065616875837871e-02
8.368200836820082963e-03	7.615754369291960479e+00	3.586958191183698547e-02
1.255230125523012184e-02	7.570762407133288185e+00	3.415624065275294635e-02
1.673640167364016593e-02	7.526012761761796455e+00	3.214351689160141468e-02
2.092050209205020828e-02	7.481728226917098823e+00	3.054727519583801121e-02
2.510460251046024716e-02	7.437809222916011542e+00	2.920976626380647478e-02
2.928870292887028950e-02	7.394460335395706352e+00	2.804886692171769391e-02
3.347280334728033185e-02	7.351311903503723322e+00	2.719572039709215738e-02
3.765690376569037073e-02	7.308026733473961478e+00	2.663937875311728556e-02
4.184100418410041655e-02	7.264717030200150916e+00	2.622400445724147600e-02
4.602510460251046237e-02	7.221340632963741513e+00	2.601026400775330663e-02
5.020920502092049431e-02	7.177757911142113478e+00	2.612217833067496942e-02
5.439330543933054013e-02	7.134296897168996843e+00	2.605869685765140747e-02
5.857740585774058595e-02	7.090619846685014771e+00	2.595628742170759395e-02
6.276150627615062483e-02	7.046806284804073783e+00	2.636979664699122539e-02
6.694560669456066371e-02	7.002906021873243958e+00	2.692664653445408021e-02
7.112970711297070259e-02	6.959767996753362773e+00	2.690493421742074648e-02
7.531380753138074147e-02	6.916129927688169587e+00	2.694769503829036808e-02
7.949790794979078035e-02	6.872447999809229380e+00	2.676498238973559415e-02
8.368200836820083310e-02	6.829194541230574345e+00	2.731044809085956399e-02
8.786610878661087198e-02	6.785521697955329223e+00	2.808508991688588377e-02
9.205020920502092474e-02	6.741672516723246744e+00	2.931896815603714235e-02
9.623430962343096362e-02	6.697544909401344171e+00	3.081098412523324351e-02
1.004184100418409886e-01	6.653362684614831934e+00	3.252550395490640817e-02
1.046025104602510414e-01	6.608784020228199552e+00	3.379753325354568905e-02
1.087866108786610803e-01	6.564253137717506625e+00	3.501611187736889536e-02
1.129707112970711330e-01	6.519370949818276806e+00	3.612953453841288159e-02
1.171548117154811719e-01	6.474865827294357778e+00	3.725565091827913455e-02
1.213389121338911830e-01	6.430708016127818283e+00	3.818440783633998692e-02
1.255230125523012497e-01	6.386061895144687028e+00	3.898059933880590466e-02
1.297071129707113024e-01	6.340867672354880469e+00	3.986302341297093960e-02
1.338912133891213274e-01	6.295572293297443167e+00	4.048529200621348023e-02
1.380753138075313524e-01	6.249989411275517881e+00	4.123713459295459682e-02
1.422594142259413774e-01	6.203937301196090992e+00	4.144190062698371868e-02
1.464435146443514579e-01	6.158287964890805988e+00	4.157584714823484018e-02
1.506276150627614829e-01	6.112546449345211741e+00	4.225966803916917508e-02
1.548117154811715357e-01	6.066777306636111256e+00	4.287875267381698746e-02
1.589958158995815607e-01	6.021245610149183136e+00	4.350969112054401539e-02
1.631799163179916135e-01	5.975435756029741974e+00	4.384832069656683512e-02
1.673640167364016662e-01	5.929381828284947531e+00	4.422984288667393404e-02
1.715481171548116912e-01	5.882916702329248793e+00	4.489570921859272618e-02
1.757322175732217440e-01	5.836707798416364668e+00	4.587563522920245357e-02
1.799163179916317690e-01	5.789305842055998852e+00	4.654658121823140871e-02
1.841004184100418495e-01	5.741386996498859752e+00	4.697583763837479692e-02
1.882845188284518745e-01	5.693691827696107488e+00	4.739026174170830885e-02
1.924686192468618995e-01	5.645948996043204993e+00	4.759986938613369051e-02
1.966527196652719522e-01	5.597563007078614206e+00	4.707842877610147331e-02
2.008368200836819772e-01	5.549681397469933941e+00	4.735788429848940273e-02
2.050209205020920578e-01	5.501275924567850417e+00	4.736393853167922274e-02
2.092050209205020828e-01	5.453218074985256791e+00	4.751639433808096252e-02
2.133891213389121078e-01	5.404710338926195234e+00	4.743100181618364192e-02
2.175732217573221605e-01	5.356482881222791370e+00	4.756363336171567924e-02
2.217573221757321855e-01	5.307924264196304698e+00	4.751192689197498986e-02
2.259414225941422660e-01	5.258824962143795467e+00	4.723913115447733041e-02
2.301255230125522910e-01	5.209375185042991241e+00	4.697580044910167063e-02
2.343096234309623160e-01	5.160133546916722658e+00	4.664730877588968427e-02
2.384937238493723688e-01	5.110623887058379999e+00	4.629696336819374286e-02
2.426778242677823938e-01	5.061089477721351315e+00	4.630988829941289076e-02
2.468619246861924743e-01	5.011616502050759259e+00	4.645612831048636510e-02
2.510460251046024993e-01	4.961689239814623953e+00	4.635069020884476781e-02
2.552301255230124966e-01	4.911716410760766038e+00	4.626025860831190634e-02
2.594142259414226048e-01	4.861232696109424545e+00	4.615477595067957878e-02
2.635983263598326021e-01	4.810434866424875722e+00	4.575385431145961163e-02
2.677824267782426548e-01	4.759353959054820393e+00	4.553024274381176767e-02
2.719665271966527076e-01	4.708096544475296241e+00	4.530180193347727730e-02
2.761506276150627048e-01	4.656695503223549082e+00	4.522129417367676957e-02
2.803347280334728131e-01	4.605033043743278043e+00	4.508759607157034055e-02
2.845188284518828103e-01	4.552709925484525577e+00	4.509444725635854828e-02
2.887029288702928631e-01	4.499596976462755471e+00	4.558304338820303586e-02
2.928870292887029159e-01	4.446024460069712525e+00	4.610385294437031184e-02
2.970711297071129131e-01	4.392407858502304308e+00	4.614252553860781481e-02
3.012552301255229659e-01	4.337825339285939386e+00	4.592535189275537971e-02
3.054393305439330186e-01	4.283195567753486088e+00	4.546942068630684813e-02
3.096234309623430714e-01	4.227939558892704675e+00	4.469172854650670795e-02
3.138075313807531241e-01	4.172705886299530320e+00	4.417460072562109930e-02
3.179916317991631214e-01	4.116474550530428544e+00	4.394943503997459505e-02
3.221757322175731741e-01	4.059013480264916929e+00	4.415738769234382050e-02
3.263598326359832269e-01	4.000949228509127487e+00	4.519491231260348851e-02
3.305439330543932797e-01	3.942914115237605266e+00	4.609637910239602204e-02
3.347280334728033324e-01	3.884684679813829256e+00	4.700072420550860386e-02
3.389121338912133297e-01	3.825777156689253555e+00	4.869210288282268401e-02
3.430962343096233824e-01	3.767331636976766429e+00	5.027513227943468388e-02
3.472803347280334907e-01	3.708610811551960484e+00	5.137803253858332087e-02
3.514644351464434879e-01	3.648593960974947148e+00	5.230660176103370251e-02
3.556485355648535407e-01	3.587187826107673061e+00	5.341401657228732336e-02
3.598326359832635379e-01	3.524611061251033295e+00	5.485478286386214625e-02
3.640167364016735907e-01	3.461793027424013847e+00	5.617837401530918762e-02
3.682008368200836990e-01	3.397965857581620508e+00	5.575857698152823783e-02
3.723849372384936962e-01	3.333915951075054451e+00	5.517512130352807131e-02
3.765690376569037490e-01	3.269829712985163450e+00	5.473259346301934808e-02
3.807531380753137462e-01	3.204947945025098388e+00	5.441566715957280032e-02
3.849372384937237990e-01	3.139001360999909007e+00	5.335648745837649060e-02
3.891213389121339072e-01	3.073175880769762447e+00	5.056663103932460684e-02
3.933054393305439045e-01	3.005713755547047672e+00	4.816316181968694626e-02
3.974895397489539572e-01	2.938787515260360195e+00	4.621966236269737377e-02
4.016736401673639545e-01	2.872146965754490910e+00	4.553588056910286980e-02
4.058577405857740072e-01	2.804204918019749471e+00	4.479992905354315130e-02
4.100418410041841155e-01	2.735335889148789779e+00	4.311896740700772723e-02
4.142259414225941128e-01	2.665871093233455280e+00	4.191194749365447642e-02
4.184100418410041655e-01	2.596472426300200809e+00	4.167470674491456639e-02
4.225941422594141628e-01	2.525571690803415592e+00	4.005526537446418150e-02
4.267782426778242155e-01	2.454673293233880838e+00	3.951064623032611578e-02
4.309623430962343238e-01	2.382945414654344951e+00	3.993856570869175338e-02
4.351464435146443210e-01	2.311562799117597322e+00	3.928621600382115747e-02
4.393305439330543738e-01	2.241754264965674981e+00	3.946189708506746274e-02
4.435146443514643710e-01	2.173258677225395008e+00	4.052903224977547070e-02
4.476987447698744238e-01	2.108601336162564177e+00	4.257269683403235028e-02
4.518828451882845321e-01	2.047438177264092829e+00	4.163671516937319378e-02
4.560669456066945293e-01	1.990043317380403742e+00	4.056755781860619386e-02
4.602510460251045821e-01	1.939073727813459325e+00	3.943173464135229372e-02
4.644351464435145793e-01	1.891856117263961412e+00	4.178829490828887827e-02
4.686192468619246321e-01	1.846506918218288273e+00	4.376225796526066886e-02
4.728033472803347403e-01	1.804617241552459284e+00	4.668320075660038759e-02
4.769874476987447376e-01	1.765474914276919938e+00	5.205149312842668324e-02
4.811715481171547903e-01	1.731747506203767051e+00	5.094922076508395792e-02
4.853556485355647876e-01	1.698196787938120567e+00	4.901480317531732578e-02
4.895397489539748404e-01	1.673632208267125554e+00	4.259096412626529882e-02
4.937238493723849486e-01	1.652598473207360863e+00	4.063520421844012132e-02
4.979079497907949459e-01	1.633821451374670941e+00	4.145555962281702311e-02
5.020920502092049986e-01	1.618194367132253619e+00	4.109698062070495095e-02
5.062761506276149959e-01	1.604328743199721297e+00	4.155914302453756620e-02
5.104602510460249931e-01	1.592254302643584474e+00	3.933751209977215391e-02
5.146443514644351014e-01	1.580421615015755288e+00	3.818778378598207401e-02
5.188284518828452097e-01	1.570338759875741230e+00	3.572843856876393304e-02
5.230125523012552069e-01	1.559699074107761874e+00	3.256898840729886835e-02
5.271966527196652041e-01	1.549301688557989332e+00	3.270689773518118543e-02
5.313807531380752014e-01	1.536834761121411042e+00	3.499362233254162124e-02
5.355648535564853097e-01	1.522685578259280748e+00	3.628812123421187863e-02
5.397489539748954179e-01	1.510718216610725584e+00	4.026639625071828932e-02
5.439330543933054152e-01	1.498311847164128130e+00	4.447604369720407902e-02
5.481171548117154124e-01	1.485354914447339247e+00	4.753920955582100621e-02
5.523012552301254097e-01	1.473310451439649338e+00	4.711605951354939231e-02
5.564853556485355179e-01	1.459686233021165958e+00	4.654009836239100806e-02
5.606694560669456262e-01	1.448514597495220935e+00	4.627220691964762517e-02
5.648535564853556235e-01	1.437165748634282147e+00	4.717164891043919284e-02
5.690376569037656207e-01	1.426201901513787895e+00	4.798035026278060777e-02
5.732217573221756179e-01	1.416371439869934079e+00	4.825583163846212248e-02
5.774058577405857262e-01	1.407398657482480608e+00	4.575155155588080114e-02
5.815899581589957235e-01	1.398989863698962166e+00	4.271364329416243999e-02
5.857740585774058317e-01	1.390978054956744758e+00	4.098541980465598977e-02
5.899581589958158290e-01	1.384141783859738739e+00	3.866654044538495039e-02
5.941422594142258262e-01	1.378281349592366922e+00	3.603605852373283069e-02
5.983263598326359345e-01	1.372612941787098695e+00	3.412201299960210960e-02
6.025104602510459317e-01	1.367106862270014433e+00	3.248139525272151357e-02
6.066945606694560400e-01	1.361957214758452883e+00	3.110357098366774153e-02
6.108786610878660372e-01	1.357441222079547094e+00	3.047736450922512025e-02
6.150627615062760345e-01	1.352557003912174816e+00	2.973091296301250477e-02
6.192468619246861428e-01	1.347889768470489136e+00	2.941718952110975935e-02
6.234309623430961400e-01	1.342643896681084081e+00	3.018938205920008652e-02
6.276150627615062483e-01	1.338255691063809483e+00	3.073541727554365138e-02
6.317991631799162455e-01	1.335106203709466977e+00	3.035504675055740453e-02
6.359832635983262428e-01	1.331101176985379997e+00	2.947258088845911006e-02
6.401673640167363510e-01	1.327261480510724123e+00	2.930851761055039764e-02
6.443514644351463483e-01	1.324128487349182981e+00	2.930102768726857224e-02
