# Time	Mean	Std
0.000000000000000000e+00	7.700127146685786350e+00	5.789083371269676537e-02
4.184100418410041482e-03	7.669233938378082982e+00	5.038642207671253231e-02
8.368200836820082963e-03	7.634685241104238074e+00	4.584464304735896140e-02
1.255230125523012184e-02	7.599859986236551457e+00	4.242897179714762157e-02
1.673640167364016593e-02	7.565183477999863904e+00	3.988778841822031296e-02
2.092050209205020828e-02	7.530266834195068704e+00	3.801348977951962693e-02
2.510460251046024716e-02	7.495241424944178554e+00	3.651229857112335553e-02
2.928870292887028950e-02	7.460498628511326835e+00	3.552369226076521752e-02
3.347280334728033185e-02	7.425774083488596133e+00	3.468993780039027197e-02
3.765690376569037073e-02	7.390704561697338804e+00	3.383494048831426487e-02
4.184100418410041655e-02	7.355256422611419431e+00	3.277021653443932397e-02
4.602510460251046237e-02	7.318979669314146896e+00	3.191938730460881779e-02
5.020920502092049431e-02	7.282711766784422558e+00	3.084535287129496622e-02
5.439330543933054013e-02	7.246692999013879088e+00	2.992731971031021773e-02
5.857740585774058595e-02	7.210245018963700403e+00	2.933514506107349346e-02
6.276150627615062483e-02	7.174201744333601916e+00	2.878440450909241013e-02
6.694560669456066371e-02	7.138211924885347948e+00	2.770496651742494418e-02
7.112970711297070259e-02	7.102963605397277114e+00	2.724991426029860567e-02
7.531380753138074147e-02	7.068143754233625842e+00	2.676132526642905490e-02
7.949790794979078035e-02	7.033722113404992093e+00	2.636737759212709822e-02
8.368200836820083310e-02	6.999493528146532029e+00	2.645165849871960670e-02
8.786610878661087198e-02	6.965039636946294799e+00	2.643923815579577591e-02
9.205020920502092474e-02	6.930875919526008566e+00	2.667057386706268157e-02
9.623430962343096362e-02	6.896748837108095387e+00	2.673582973091841522e-02
1.004184100418409886e-01	6.863562394402558553e+00	2.707259871699431095e-02
1.046025104602510414e-01	6.830409088364449488e+00	2.716235680194806559e-02
1.087866108786610803e-01	6.797707426263681185e+00	2.819096027956481676e-02
1.129707112970711330e-01	6.765089787214669137e+00	2.852653029143183833e-02
1.171548117154811719e-01	6.733244710943288247e+00	2.937863386308514277e-02
1.213389121338911830e-01	6.702858916235191700e+00	3.004356890610046862e-02
1.255230125523012497e-01	6.672959918911945287e+00	3.095894308723672744e-02
1.297071129707113024e-01	6.643200623142616834e+00	3.192538679483912512e-02
1.338912133891213274e-01	6.614591378606399452e+00	3.299616211708487207e-02
1.380753138075313524e-01	6.587543424963513417e+00	3.351810524025117949e-02
1.422594142259413774e-01	6.558626011200212602e+00	3.501137719147677518e-02
1.464435146443514579e-01	6.530582566309186987e+00	3.657796092750414257e-02
1.506276150627614829e-01	6.502970533833854816e+00	3.694237613344655835e-02
1.548117154811715357e-01	6.476140882364824769e+00	3.764071130565306567e-02
1.589958158995815607e-01	6.448349388742845356e+00	3.813630565236412334e-02
1.631799163179916135e-01	6.421207186415785806e+00	3.952682099741867960e-02
1.673640167364016662e-01	6.394595193031365810e+00	4.114512135258470427e-02
1.715481171548116912e-01	6.367874395304498059e+00	4.224619166073243642e-02
1.757322175732217440e-01	6.340575110413180226e+00	4.424888560433126033e-02
1.799163179916317690e-01	6.313074536837721240e+00	4.634226947509258177e-02
1.841004184100418495e-01	6.285561587238272629e+00	4.805006453072543232e-02
1.882845188284518745e-01	6.257088487595399151e+00	4.969223446244567383e-02
1.924686192468618995e-01	6.227449216050639613e+00	5.079118386180613703e-02
1.966527196652719522e-01	6.198450568813227868e+00	5.184972729961920962e-02
2.008368200836819772e-01	6.170034886904860016e+00	5.335780240330018076e-02
2.050209205020920578e-01	6.141509624919808452e+00	5.443581054624965776e-02
2.092050209205020828e-01	6.111860666257411978e+00	5.526763424347941323e-02
2.133891213389121078e-01	6.082353459802558149e+00	5.661533235719995449e-02
2.175732217573221605e-01	6.052767521824615748e+00	5.803788429102263446e-02
2.217573221757321855e-01	6.022997508597257799e+00	5.995024802695136934e-02
2.259414225941422660e-01	5.992895825075415850e+00	6.185820167949536430e-02
2.301255230125522910e-01	5.963437155575329385e+00	6.405322159847434693e-02
2.343096234309623160e-01	5.933819418168117643e+00	6.492590682428046878e-02
2.384937238493723688e-01	5.903459532781750063e+00	6.519702527933982084e-02
2.426778242677823938e-01	5.874847539327417323e+00	6.656190854934670997e-02
2.468619246861924743e-01	5.846406658897092434e+00	6.839917193859224032e-02
2.510460251046024993e-01	5.817900173008665909e+00	7.035369640571710603e-02
2.552301255230124966e-01	5.789341367605081778e+00	7.249594113674674711e-02
2.594142259414226048e-01	5.762072370488231954e+00	7.389171241286704439e-02
2.635983263598326021e-01	5.735570036028254215e+00	7.516446103222164388e-02
2.677824267782426548e-01	5.709489677656892859e+00	7.678338101932946635e-02
2.719665271966527076e-01	5.683460213146852347e+00	7.821206998812452182e-02
2.761506276150627048e-01	5.657662784464756456e+00	7.912762708248126386e-02
2.803347280334728131e-01	5.631407157439312527e+00	7.930419395942749083e-02
2.845188284518828103e-01	5.605270869653696586e+00	7.989217065958109654e-02
2.887029288702928631e-01	5.579527915369700608e+00	8.074992325314206409e-02
2.928870292887029159e-01	5.553740695186746734e+00	8.174313717584311134e-02
2.970711297071129131e-01	5.527566013587506433e+00	8.302153817835689065e-02
3.012552301255229659e-01	5.501300839042941426e+00	8.434035177715790144e-02
3.054393305439330186e-01	5.473864296959779274e+00	8.368628281454118523e-02
3.096234309623430714e-01	5.447339426170916710e+00	8.471109940097325264e-02
3.138075313807531241e-01	5.420364487773857043e+00	8.613951223209373453e-02
3.179916317991631214e-01	5.393763666111780708e+00	8.772172599258554193e-02
3.221757322175731741e-01	5.366815286261299001e+00	8.894015194700143068e-02
3.263598326359832269e-01	5.340098502455522755e+00	8.994055616759603911e-02
3.305439330543932797e-01	5.313538361446911829e+00	9.140355078216624851e-02
3.347280334728033324e-01	5.286553103804564557e+00	9.321682869254652171e-02
3.389121338912133297e-01	5.260298205235788060e+00	9.346925342298967321e-02
3.430962343096233824e-01	5.234047553403341269e+00	9.372941234800361010e-02
3.472803347280334907e-01	5.207213894006637034e+00	9.313484303771304984e-02
3.514644351464434879e-01	5.181015584537190577e+00	9.296102326086383427e-02
3.556485355648535407e-01	5.155021221649148444e+00	9.302632993213795498e-02
3.598326359832635379e-01	5.128524503757081909e+00	9.296239896033110794e-02
3.640167364016735907e-01	5.102609448932295955e+00	9.298533459806711254e-02
3.682008368200836990e-01	5.076415088764779426e+00	9.328618711849720468e-02
3.723849372384936962e-01	5.050030592698167453e+00	9.364796017367713055e-02
3.765690376569037490e-01	5.022738040771310253e+00	9.328192345844334155e-02
3.807531380753137462e-01	4.995889426482515105e+00	9.339199254745950141e-02
3.849372384937237990e-01	4.968929335012218118e+00	9.345245959693521121e-02
3.891213389121339072e-01	4.941428391752818783e+00	9.326521814315129333e-02
3.933054393305439045e-01	4.913419347747255195e+00	9.324762531782385122e-02
3.974895397489539572e-01	4.886740960868283246e+00	9.332217864499091353e-02
4.016736401673639545e-01	4.860341727944549994e+00	9.336376686665512348e-02
4.058577405857740072e-01	4.833699728825930464e+00	9.289884592951233588e-02
4.100418410041841155e-01	4.807175442404587606e+00	9.238694793022160512e-02
4.142259414225941128e-01	4.780684346033825527e+00	9.219031433287208643e-02
4.184100418410041655e-01	4.754038292262595888e+00	9.117999091873602024e-02
4.225941422594141628e-01	4.727065744656298030e+00	9.014122869654753178e-02
4.267782426778242155e-01	4.700761692421443705e+00	8.970770606091453547e-02
4.309623430962343238e-01	4.673278344771270021e+00	8.878975751431650298e-02
4.351464435146443210e-01	4.645598940533574250e+00	8.854137855874368024e-02
4.393305439330543738e-01	4.617608781398655715e+00	8.901566051250285605e-02
4.435146443514643710e-01	4.590502578280493573e+00	8.903567944972062831e-02
4.476987447698744238e-01	4.564321103272947155e+00	8.886873796766806000e-02
4.518828451882845321e-01	4.537631928622831268e+00	8.825360232168688590e-02
4.560669456066945293e-01	4.508805674118016249e+00	8.902571298629156915e-02
4.602510460251045821e-01	4.482264572567015826e+00	8.932829487020367554e-02
4.644351464435145793e-01	4.455809355255931692e+00	8.970304357637602644e-02
4.686192468619246321e-01	4.429809983856526578e+00	9.009211412895540283e-02
4.728033472803347403e-01	4.403522219989691067e+00	8.980478033062434806e-02
4.769874476987447376e-01	4.376981078363195721e+00	9.030826087959478721e-02
4.811715481171547903e-01	4.349289080283295306e+00	9.091340198492205149e-02
4.853556485355647876e-01	4.322132677098033504e+00	9.261166835544093479e-02
4.895397489539748404e-01	4.295334941261044648e+00	9.414572090288196582e-02
4.937238493723849486e-01	4.268344741690264676e+00	9.326628522522101283e-02
4.979079497907949459e-01	4.240451715768853269e+00	9.212205549596627630e-02
5.020920502092049986e-01	4.214415291874773040e+00	9.223351226580109308e-02
5.062761506276149959e-01	4.188489658091640422e+00	9.178910852550818678e-02
5.104602510460249931e-01	4.161741137040466221e+00	9.228077432867283492e-02
5.146443514644351014e-01	4.134985891090702914e+00	9.091023303899317676e-02
5.188284518828452097e-01	4.106198543535736434e+00	8.949020318986904143e-02
5.230125523012552069e-01	4.078451465130921605e+00	8.859197539586204095e-02
5.271966527196652041e-01	4.052039682944378995e+00	8.809486175394605489e-02
5.313807531380752014e-01	4.025840236361708513e+00	8.921541561450344049e-02
5.355648535564853097e-01	3.998524710352315381e+00	8.939568061817358691e-02
5.397489539748954179e-01	3.971640123800445732e+00	8.823138627285032065e-02
5.439330543933054152e-01	3.945654767602832624e+00	8.786176889833503811e-02
5.481171548117154124e-01	3.919389945327384606e+00	8.813391757857180764e-02
5.523012552301254097e-01	3.892512064158268892e+00	8.897837221651064277e-02
5.564853556485355179e-01	3.865675442927520411e+00	9.022545926990749310e-02
5.606694560669456262e-01	3.838543699606782322e+00	9.050214797745902151e-02
5.648535564853556235e-01	3.811769977003296894e+00	9.062342994018188214e-02
5.690376569037656207e-01	3.786075123438471302e+00	9.116541179074019730e-02
5.732217573221756179e-01	3.759454386027262007e+00	9.207685442655200170e-02
5.774058577405857262e-01	3.731505768136594181e+00	9.297471758337022552e-02
5.815899581589957235e-01	3.703931041576437266e+00	9.384321584086151302e-02
5.857740585774058317e-01	3.675510989406112650e+00	9.534197399211816193e-02
5.899581589958158290e-01	3.646315730271104005e+00	9.597099440420089889e-02
5.941422594142258262e-01	3.618062170486647133e+00	9.534187114560285781e-02
5.983263598326359345e-01	3.589035683553623013e+00	9.581254106456728314e-02
6.025104602510459317e-01	3.559259199904217574e+00	9.740898327798282186e-02
6.066945606694560400e-01	3.526999401704567827e+00	9.888806497728092060e-02
6.108786610878660372e-01	3.493661915416689023e+00	9.929064746729759916e-02
6.150627615062760345e-01	3.461279992071544243e+00	1.010299000348922199e-01
6.192468619246861428e-01	3.430003263128685198e+00	1.024904375051005345e-01
6.234309623430961400e-01	3.399221265486792820e+00	1.045567992129391582e-01
6.276150627615062483e-01	3.369576789581389065e+00	1.066577215408134327e-01
6.317991631799162455e-01	3.340477969237336975e+00	1.066348543419039507e-01
6.359832635983262428e-01	3.309940783335405090e+00	1.083850744038777764e-01
6.401673640167363510e-01	3.281028028073394776e+00	1.102494469581986880e-01
6.443514644351463483e-01	3.252386004355504401e+00	1.113487960452936854e-01
6.485355648535564566e-01	3.223113517693114272e+00	1.125958464977789564e-01
6.527196652719664538e-01	3.191465330677183410e+00	1.139953392346340216e-01
6.569037656903764510e-01	3.159954657542896062e+00	1.138194923109087237e-01
6.610878661087865593e-01	3.128297434362657725e+00	1.149872670232635896e-01
6.652719665271965566e-01	3.095566270380247786e+00	1.157339775481292382e-01
6.694560669456066648e-01	3.062291528520060258e+00	1.162363876548307556e-01
6.736401673640167731e-01	3.029173321502077965e+00	1.183790112718730442e-01
6.778242677824266593e-01	2.997323708437242828e+00	1.190200466024804449e-01
6.820083682008367676e-01	2.965691079240365458e+00	1.206832009774456010e-01
6.861924686192467648e-01	2.931873897634047932e+00	1.221220819682797137e-01
6.903765690376568731e-01	2.898032754863936411e+00	1.231560785320467838e-01
6.945606694560669814e-01	2.864369833935416221e+00	1.228257634971746809e-01
6.987447698744768676e-01	2.830357331165610724e+00	1.244205624300436103e-01
7.029288702928869759e-01	2.794099200723362042e+00	1.251788440416953530e-01
7.071129707112969731e-01	2.757951069742294870e+00	1.266870135893719274e-01
7.112970711297070814e-01	2.719826087146377080e+00	1.273691682851820217e-01
7.154811715481171897e-01	2.680582197912876552e+00	1.310368852072970047e-01
7.196652719665270759e-01	2.638315802426220991e+00	1.366316733555203722e-01
7.238493723849371841e-01	2.595819329071803239e+00	1.404002862450561828e-01
7.280334728033472924e-01	2.554258215629259698e+00	1.427619966526614270e-01
7.322175732217572897e-01	2.509492886559558933e+00	1.426858042135982774e-01
7.364016736401673979e-01	2.462800453556845959e+00	1.410669809589499279e-01
7.405857740585772842e-01	2.416275173828182687e+00	1.371112025982047788e-01
7.447698744769873924e-01	2.369034224792207599e+00	1.341248454018582059e-01
7.489539748953975007e-01	2.323750249726734385e+00	1.338496346813183857e-01
7.531380753138074979e-01	2.280566799440229886e+00	1.330329847953543032e-01
7.573221757322176062e-01	2.235695825069497378e+00	1.333110339104012498e-01
7.615062761506274924e-01	2.187656761166412611e+00	1.335046864230896302e-01
7.656903765690376007e-01	2.142042374432715501e+00	1.357914581729414427e-01
7.698744769874477090e-01	2.096779067281338449e+00	1.347894060268715333e-01
7.740585774058577062e-01	2.051902995411257091e+00	1.351298068916996498e-01
7.782426778242678145e-01	2.008502522204241192e+00	1.327379444182368862e-01
7.824267782426777007e-01	1.968694798867316020e+00	1.275916155110884964e-01
7.866108786610878090e-01	1.928169439894776405e+00	1.236455399151603213e-01
7.907949790794979172e-01	1.888257198585362007e+00	1.192527912408422042e-01
7.949790794979079145e-01	1.853296144754913000e+00	1.108668089943305179e-01
7.991631799163180228e-01	1.819520862475630496e+00	1.078876181282679980e-01
8.033472803347279090e-01	1.791675118438033731e+00	1.033543526453697264e-01
8.075313807531380172e-01	1.764873845849281642e+00	1.019439084443153759e-01
8.117154811715481255e-01	1.741720040022485483e+00	9.967685840619555648e-02
8.158995815899581228e-01	1.722349021461795360e+00	9.646276256642548341e-02
8.200836820083682310e-01	1.702698773964167467e+00	9.054985629823850135e-02
8.242677824267781173e-01	1.685401607684601233e+00	8.536091803315862259e-02
8.284518828451882255e-01	1.666447925307422695e+00	8.012945624719455817e-02
8.326359832635983338e-01	1.650185711683625600e+00	7.604397294551480668e-02
8.368200836820083310e-01	1.633855117413213653e+00	7.325550681131015596e-02
8.410041841004184393e-01	1.621358196053972689e+00	7.410970619541125404e-02
8.451882845188283255e-01	1.609698849629147555e+00	7.554018313356877790e-02
8.493723849372384338e-01	1.596687114609793623e+00	7.490516768392636859e-02
8.535564853556485421e-01	1.582807303701360357e+00	7.395036306538504967e-02
8.577405857740585393e-01	1.569739111330256343e+00	7.370456350928590583e-02
8.619246861924686476e-01	1.557090650526113507e+00	7.516929877833938844e-02
8.661087866108785338e-01	1.545505238445125773e+00	7.257812152949534579e-02
8.702928870292886421e-01	1.534705745793195630e+00	6.965570424170920705e-02
8.744769874476987503e-01	1.524169143960788952e+00	6.500058425504874615e-02
8.786610878661087476e-01	1.513299126716193266e+00	6.197462909871110509e-02
8.828451882845188559e-01	1.502721412572906701e+00	5.991649999798398518e-02
8.870292887029287421e-01	1.494010235827428756e+00	5.618780689109541954e-02
8.912133891213388504e-01	1.486109923601033111e+00	5.320582530451902631e-02
8.953974895397489586e-01	1.477817886377532197e+00	5.032325808290939728e-02
8.995815899581589559e-01	1.468330560420979758e+00	4.848028643126534726e-02
9.037656903765690641e-01	1.458474629113011067e+00	4.795421420241410826e-02
9.079497907949789504e-01	1.449739758898163311e+00	4.741381915876893838e-02
9.121338912133890586e-01	1.443885631044465656e+00	4.639959436603369874e-02
9.163179916317991669e-01	1.437995249642828766e+00	4.567548522351713020e-02
9.205020920502091641e-01	1.433183862620108995e+00	4.643284545493873289e-02
9.246861924686192724e-01	1.427472652551117216e+00	4.753280804544023075e-02
9.288702928870291586e-01	1.422225111451365986e+00	4.740841275495898816e-02
9.330543933054392669e-01	1.417259269217030049e+00	4.564284017687512962e-02
9.372384937238493752e-01	1.412241094071348568e+00	4.521266680133479571e-02
9.414225941422593724e-01	1.407447527565189427e+00	4.668797248813051637e-02
9.456066945606694807e-01	1.401686830061507516e+00	4.689868631868714111e-02
9.497907949790793669e-01	1.395613745972612785e+00	4.633240170291664378e-02
9.539748953974894752e-01	1.391507153397178342e+00	4.733497981385053482e-02
9.581589958158995834e-01	1.387882429698259035e+00	4.733986837002596842e-02
9.623430962343095807e-01	1.383957476375975659e+00	4.714012724411489885e-02
9.665271966527196890e-01	1.378999106359622973e+00	4.628142960196797440e-02
9.707112970711295752e-01	1.373974143648124091e+00	4.478118315058765564e-02
9.748953974895396835e-01	1.368540594691589840e+00	4.343703788726941545e-02
9.790794979079497917e-01	1.364149167064182766e+00	4.135843909936685187e-02
9.832635983263597890e-01	1.359611244580878120e+00	3.963596629118100456e-02
9.874476987447698972e-01	1.354727346130814913e+00	3.700826545894431857e-02
9.916317991631797835e-01	1.348532518454061080e+00	3.484826410545401043e-02
9.958158995815898917e-01	1.343045574546423593e+00	3.294834095221998299e-02
1.000000000000000000e+00	1.337456133650595680e+00	3.161565138217153903e-02
