# Time	Mean	Std
0.000000000000000000e+00	7.693337985538278190e+00	5.940898725164391742e-02
4.184100418410041482e-03	7.652867972887943182e+00	5.037744132933348606e-02
8.368200836820082963e-03	7.608293238721861584e+00	4.610656145432050212e-02
1.255230125523012184e-02	7.564159461331004586e+00	4.335328787758813834e-02
1.673640167364016593e-02	7.521577119029609904e+00	4.142140877474025790e-02
2.092050209205020828e-02	7.480390403684143763e+00	3.998229629242308625e-02
2.510460251046024716e-02	7.440055782883118418e+00	3.893221650364731001e-02
2.928870292887028950e-02	7.400241678567737402e+00	3.815325197605310553e-02
3.347280334728033185e-02	7.360014812700312881e+00	3.713688137995576483e-02
3.765690376569037073e-02	7.318543130313279299e+00	3.600815872257105005e-02
4.184100418410041655e-02	7.275564363067137386e+00	3.542575629802748732e-02
4.602510460251046237e-02	7.231228381864679200e+00	3.470998809274252611e-02
5.020920502092049431e-02	7.187307898667080863e+00	3.461709380876442504e-02
5.439330543933054013e-02	7.144171151378442275e+00	3.443673109615089795e-02
5.857740585774058595e-02	7.102113845699597583e+00	3.371666960799679646e-02
6.276150627615062483e-02	7.061062228427181786e+00	3.300328698890582502e-02
6.694560669456066371e-02	7.020144753446185604e+00	3.245971243255146854e-02
7.112970711297070259e-02	6.978787424988004418e+00	3.288101751925780192e-02
7.531380753138074147e-02	6.937580417914306352e+00	3.295356386423498041e-02
7.949790794979078035e-02	6.895772126978648053e+00	3.277252947740010025e-02
8.368200836820083310e-02	6.853867204737165153e+00	3.234206447330115891e-02
8.786610878661087198e-02	6.812707983258531996e+00	3.291109292697951688e-02
9.205020920502092474e-02	6.772174034556213584e+00	3.309425082019013670e-02
9.623430962343096362e-02	6.732182263987644966e+00	3.434039553102359588e-02
1.004184100418409886e-01	6.692163301635533301e+00	3.565788392865389816e-02
1.046025104602510414e-01	6.653420139010351342e+00	3.635837608415989908e-02
1.087866108786610803e-01	6.615227057063375327e+00	3.646448578014962333e-02
1.129707112970711330e-01	6.576866966717533458e+00	3.852082763317200148e-02
1.171548117154811719e-01	6.539194132974619045e+00	4.041366760512123818e-02
1.213389121338911830e-01	6.502264865798333737e+00	4.309950288615391201e-02
1.255230125523012497e-01	6.465946058571622856e+00	4.387500681793227858e-02
1.297071129707113024e-01	6.430129772009160583e+00	4.461869857091461944e-02
1.338912133891213274e-01	6.394446170079694625e+00	4.598709472639791324e-02
1.380753138075313524e-01	6.359144995308295023e+00	4.731388039144090313e-02
